活动编号	活动轮数	活动开始距离开服天数	活动结束距离开服天数	配置文件编号Id
key	round	startDay	endDay	confId
String	Int	Int	Int	Int
tavern_recruit	1	0	6	1
tavern_recruit	2	7	13	2
tavern_recruit	3	14	20	3
tavern_recruit	4	21	27	4
tavern_recruit	5	28	34	1
tavern_recruit	6	35	41	2
tavern_recruit	7	42	48	3
tavern_recruit	8	49	55	4
tavern_recruit	9	56	62	1
tavern_recruit	10	63	69	2
tavern_recruit	11	70	76	3
tavern_recruit	12	77	83	4
tavern_recruit	13	84	90	1
tavern_recruit	14	91	97	2
tavern_recruit	15	98	104	3
tavern_recruit	16	105	111	4
tavern_recruit	17	112	118	1
tavern_recruit	18	119	125	2
tavern_recruit	19	126	132	3
tavern_recruit	20	133	139	4
tavern_recruit	21	140	146	1
tavern_recruit	22	147	153	2
tavern_recruit	23	154	160	3
tavern_recruit	24	161	167	4
tavern_recruit	25	168	174	1
tavern_recruit	26	175	181	2
tavern_recruit	27	182	188	3
human_arms	1	6	8	1
human_wing	1	9	11	1
human_mount	1	12	14	1
pray	1	0	6	1
limit_exchange	1	0	6	1
limit_exchange	2	7	13	2
limit_exchange	3	14	20	3
limit_exchange	4	21	27	4
limit_exchange	5	28	34	4
limit_exchange	6	35	41	4
limit_exchange	7	42	48	4
limit_exchange	8	49	55	4
limit_exchange	9	56	62	4
limit_exchange	10	63	69	4
limit_exchange	11	70	76	4
limit_exchange	12	77	83	4
limit_exchange	13	84	90	4
limit_exchange	14	91	97	4
limit_exchange	15	98	104	4
limit_exchange	16	105	111	4
limit_exchange	17	112	118	4
limit_exchange	18	119	125	4
limit_exchange	19	126	132	4
limit_exchange	20	133	139	4
limit_exchange	21	140	146	4
limit_exchange	22	147	153	4
limit_exchange	23	154	160	4
limit_exchange	24	161	167	4
limit_exchange	25	168	174	4
limit_exchange	26	175	181	4
limit_exchange	27	182	188	4
limit_exchange	28	189	195	4
limit_exchange	29	196	202	4
limit_exchange	30	203	209	4
limit_exchange	31	210	216	4
limit_exchange	32	217	223	4
limit_exchange	33	224	230	4
limit_exchange	34	231	237	4
limit_exchange	35	238	244	4
limit_exchange	36	245	251	4
limit_exchange	37	252	258	4
limit_exchange	38	259	265	4
limit_exchange	39	266	272	4
limit_exchange	40	273	279	4
limit_exchange	41	280	286	4
limit_exchange	42	287	293	4
limit_exchange	43	294	300	4
limit_exchange	44	301	307	4
limit_exchange	45	308	314	4
limit_exchange	46	315	321	4
limit_exchange	47	322	328	4
limit_exchange	48	329	335	4
limit_exchange	49	336	342	4
limit_exchange	50	343	349	4
limit_exchange	51	350	356	4
limit_exchange	52	357	363	4
limit_exchange	53	364	370	4
limit_exchange	54	371	377	4
limit_exchange	55	378	384	4
limit_exchange	56	385	391	4
limit_exchange	57	392	398	4
limit_exchange	58	399	405	4
limit_exchange	59	406	412	4
limit_exchange	60	413	419	4
limit_exchange	61	420	426	4
limit_exchange	62	427	433	4
expend_gift	1	7	13	1
expend_gift	2	14	20	1
expend_gift	3	21	27	1
expend_gift	4	28	34	1
expend_gift	5	35	41	1
expend_gift	6	42	48	1
expend_gift	7	49	55	1
expend_gift	8	56	62	1
expend_gift	9	63	69	1
expend_gift	10	70	76	1
expend_gift	11	77	83	1
expend_gift	12	84	90	1
expend_gift	13	91	97	1
expend_gift	14	98	104	1
expend_gift	15	105	111	1
expend_gift	16	112	118	1
expend_gift	17	119	125	1
expend_gift	18	126	132	1
expend_gift	19	133	139	1
expend_gift	20	140	146	1
expend_gift	21	147	153	1
expend_gift	22	154	160	1
expend_gift	23	161	167	1
expend_gift	24	168	174	1
expend_gift	25	175	181	1
expend_gift	26	182	188	1
expend_gift	27	189	195	1
expend_gift	28	196	202	1
expend_gift	29	203	209	1
expend_gift	30	210	216	1
expend_gift	31	217	223	1
expend_gift	32	224	230	1
expend_gift	33	231	237	1
expend_gift	34	238	244	1
expend_gift	35	245	251	1
expend_gift	36	252	258	1
expend_gift	37	259	265	1
expend_gift	38	266	272	1
expend_gift	39	273	279	1
expend_gift	40	280	286	1
expend_gift	41	287	293	1
expend_gift	42	294	300	1
expend_gift	43	301	307	1
expend_gift	44	308	314	1
expend_gift	45	315	321	1
expend_gift	46	322	328	1
expend_gift	47	329	335	1
expend_gift	48	336	342	1
expend_gift	49	343	349	1
expend_gift	50	350	356	1
expend_gift	51	357	363	1
expend_gift	52	364	370	1
expend_gift	53	371	377	1
expend_gift	54	378	384	1
expend_gift	55	385	391	1
expend_gift	56	392	398	1
expend_gift	57	399	405	1
expend_gift	58	406	412	1
expend_gift	59	413	419	1
expend_gift	60	420	426	1
expend_gift	61	427	433	1
buy_award	1	7	13	1
buy_award	2	14	20	1
buy_award	3	21	27	1
buy_award	4	28	34	1
buy_award	5	35	41	1
buy_award	6	42	48	1
buy_award	7	49	55	1
buy_award	8	56	62	1
buy_award	9	63	69	1
buy_award	10	70	76	1
buy_award	11	77	83	1
buy_award	12	84	90	1
buy_award	13	91	97	1
buy_award	14	98	104	1
buy_award	15	105	111	1
buy_award	16	112	118	1
buy_award	17	119	125	1
buy_award	18	126	132	1
buy_award	19	133	139	1
buy_award	20	140	146	1
buy_award	21	147	153	1
buy_award	22	154	160	1
buy_award	23	161	167	1
buy_award	24	168	174	1
buy_award	25	175	181	1
buy_award	26	182	188	1
buy_award	27	189	195	1
buy_award	28	196	202	1
buy_award	29	203	209	1
buy_award	30	210	216	1
buy_award	31	217	223	1
buy_award	32	224	230	1
buy_award	33	231	237	1
buy_award	34	238	244	1
manually	1	15	29	1
manually	2	30	44	1
manually	3	45	59	1
manually	4	60	74	1
manually	5	75	89	1
manually	6	90	104	1
manually	7	105	119	1
manually	8	120	134	1
manually	9	135	149	1
manually	10	150	164	1
manually	11	165	179	1
manually	12	180	194	1
manually	13	195	209	1
manually	14	210	224	1
manually	15	225	239	1
manually	16	240	254	1
manually	17	255	269	1
manually	18	270	284	1
manually	19	285	299	1
octopus	1	0	0	1
octopus	2	1	1	2
octopus	3	2	2	3
octopus	4	3	3	4
octopus	5	4	4	5
octopus	6	5	5	6
octopus	7	6	6	7
octopus	8	7	13	8
octopus	9	14	28	9
octopus	10	29	43	10
octopus	11	44	58	11
octopus	12	59	73	12
octopus	13	74	88	13
octopus	14	89	103	14
octopus	15	104	118	15
octopus	16	119	133	16
octopus	17	134	148	17
octopus	18	149	163	18
octopus	19	164	178	19
octopus	20	179	193	20
octopus	21	194	208	21
octopus	22	209	99999	22
destiny_rotate	1	7	8	1
destiny_rotate	2	9	10	2
destiny_rotate	3	11	12	3
destiny_rotate	4	13	14	4
destiny_rotate	5	15	16	5
destiny_rotate	6	17	18	6
destiny_rotate	7	19	20	7
destiny_rotate	8	21	22	8
destiny_rotate	9	23	24	9
destiny_rotate	10	25	26	10
destiny_rotate	11	27	28	11
destiny_rotate	12	29	30	12
help_equip	1	0	2	1
help_equip	2	4	6	1
help_equip	3	9	11	2
help_equip	4	14	16	3
help_equip	5	19	21	3
help_equip	6	24	26	4
help_equip	7	29	31	4
help_equip	8	34	36	4
help_equip	9	39	41	5
help_equip	10	44	46	5
help_equip	11	49	51	5
help_equip	12	54	56	5
help_equip	13	59	61	6
help_equip	14	64	66	6
help_equip	15	69	71	6
help_equip	16	74	76	6
help_equip	17	79	81	6
help_equip	18	84	86	6
help_equip	19	89	91	6
help_equip	20	94	96	6
help_equip	21	99	101	6
help_equip	22	104	106	6
help_equip	23	109	111	6
help_equip	24	114	116	6
help_equip	25	119	121	6
help_equip	26	124	126	6
help_equip	27	129	131	6
help_equip	28	134	136	6
help_equip	29	139	141	6
help_equip	30	144	146	6
help_equip	31	149	151	6
help_equip	32	154	156	6
help_equip	33	159	161	6
help_equip	34	164	166	6
help_equip	35	169	171	6
help_equip	36	174	176	6
help_equip	37	179	181	6
help_equip	38	184	186	6
help_equip	39	189	191	6
help_equip	40	194	196	6
help_equip	41	199	201	6
help_equip	42	204	206	6
help_equip	43	209	211	6
