等级	技能战力系数	攻击	生命	防御	速度	攻击%	生命%	防御%	速度%	精准	格挡	暴击	荆棘等级	吸血等级	控制等级	免控等级	伤害增强	治疗增强	灵魂伤害	无视防御	减伤率	暴击伤害	受治疗效果	每回合回血
level	sPrC	aPrC1	aPrC2	aPrC3	aPrC4	aPrC101	aPrC102	aPrC103	aPrC104	aPrC11	aPrC12	aPrC13	aPrC21	aPrC22	aPrC23	aPrC24	aPrC31	aPrC32	aPrC33	aPrC34	aPrC35	aPrC36	aPrC37	aPrC38
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	9	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
2	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
3	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
4	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
5	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
6	12	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
7	15	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
8	15	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
9	15	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
10	15	3	3	3	3	2833	2833	2833	2833	0	0	1416	1416	2833	2833	2833	0	0	2833	2833	1416	1416	1416	1416
