编号	索引	轮数	排序	奖励	权重
confId	index	id	sort	awards	weight
Int	Int2	Int	Int	Award	Int
1	1	1	1	equip.10401.1:1	1000
1	2	1	2	equip.20401.1:1	1000
1	3	1	3	equip.30401.1:1	1000
1	4	1	4	fragment.5025:60	500
1	5	1	5	equip.40401.1:1	1000
1	6	1	6	equip.50401.1:1	1000
1	7	1	7	equip.60401.1:1	1000
1	8	1	8	fragment.5026:60	500
2	1	1	1	gem.206:1	2750
2	2	1	2	gem.106:2	1500
2	3	1	3	gem.207:1	500
2	4	1	4	gem.108:1	250
2	5	1	5	gem.306:1	2750
2	6	1	6	gem.406:2	1500
2	7	1	7	gem.307:1	500
2	8	1	8	gem.408:1	250
3	1	1	1	material.100401:2	2000
3	2	1	2	dragon.1004:2	1000
3	3	1	3	material.100401:3	1500
3	4	1	4	dragon.1005:1	500
3	5	1	5	material.100401:2	2000
3	6	1	6	dragon.1004:2	1000
3	7	1	7	material.100401:3	1500
3	8	1	8	dragon.1005:1	500
4	1	1	1	rune.1004:2	1800
4	2	1	2	group.20000005.0:1	900
4	3	1	3	rune.2004:2	1900
4	4	1	4	group.20000006.0:1	350
4	5	1	5	rune.3004:2	1900
4	6	1	6	group.20000005.0:1	900
4	7	1	7	rune.4004:2	1900
4	8	1	8	group.20000006.0:1	350
5	1	1	1	equip.10501.0:1	1000
5	2	1	2	equip.20501.0:1	1000
5	3	1	3	equip.30501.0:1	1000
5	4	1	4	fragment.5023:60	500
5	5	1	5	equip.40501.0:1	1000
5	6	1	6	equip.50501.0:1	1000
5	7	1	7	equip.60501.0:1	1000
5	8	1	8	fragment.5024:60	500
6	1	1	1	gem.206:1	2750
6	2	1	2	gem.106:2	1500
6	3	1	3	gem.207:1	500
6	4	1	4	gem.108:1	250
6	5	1	5	gem.306:1	2750
6	6	1	6	gem.406:2	1500
6	7	1	7	gem.307:1	500
6	8	1	8	gem.408:1	250
7	1	1	1	material.100401:2	2000
7	2	1	2	dragon.1004:2	1000
7	3	1	3	material.100401:3	1500
7	4	1	4	dragon.1005:1	500
7	5	1	5	material.100401:2	2000
7	6	1	6	dragon.1004:2	1000
7	7	1	7	material.100401:3	1500
7	8	1	8	dragon.1005:1	500
8	1	1	1	rune.1004:2	1800
8	2	1	2	group.20000005.0:1	900
8	3	1	3	rune.2004:2	1900
8	4	1	4	group.20000006.0:1	350
8	5	1	5	rune.3004:2	1900
8	6	1	6	group.20000005.0:1	900
8	7	1	7	rune.4004:2	1900
8	8	1	8	group.20000006.0:1	350
9	1	1	1	equip.10501.0:1	1000
9	2	1	2	equip.20501.0:1	1000
9	3	1	3	equip.30501.0:1	1000
9	4	1	4	fragment.5021:60	500
9	5	1	5	equip.40501.0:1	1000
9	6	1	6	equip.50501.0:1	1000
9	7	1	7	equip.60501.0:1	1000
9	8	1	8	fragment.5022:60	500
10	1	1	1	gem.206:1	2750
10	2	1	2	gem.106:2	1500
10	3	1	3	gem.207:1	500
10	4	1	4	gem.108:1	250
10	5	1	5	gem.306:1	2750
10	6	1	6	gem.406:2	1500
10	7	1	7	gem.307:1	500
10	8	1	8	gem.408:1	250
11	1	1	1	material.100401:2	2000
11	2	1	2	dragon.1004:2	1000
11	3	1	3	material.100401:3	1500
11	4	1	4	dragon.1005:1	500
11	5	1	5	material.100401:2	2000
11	6	1	6	dragon.1004:2	1000
11	7	1	7	material.100401:3	1500
11	8	1	8	dragon.1005:1	500
12	1	1	8	rune.1004:2	1800
12	2	1	8	group.20000005.0:1	900
12	3	1	8	rune.2004:2	1900
12	4	1	8	group.20000006.0:1	350
12	5	1	8	rune.3004:2	1900
12	6	1	8	group.20000005.0:1	900
12	7	1	8	rune.4004:2	1900
12	8	1	8	group.20000006.0:1	350
