编号	索引	轮数	排序	奖励	权重
confId	index	id	sort	awards	weight
Int	Int2	Int	Int	Award	Int
1	1	1	1	material.300008:1	500
1	2	1	2	user.gold:1149000	1900
1	3	1	3	user.hero_exp:2297000	1900
1	4	1	4	user.bindcash:50	1900
1	5	1	5	material.1:50	1900
1	6	1	6	material.41:460	1900
1	7	2	1	material.300008:1	500
1	8	2	2	user.gold:1149000	1900
1	9	2	3	user.hero_exp:2297000	1900
1	10	2	4	user.bindcash:50	1900
1	11	2	5	material.1:50	1900
1	12	2	6	material.41:460	1900
1	13	3	1	material.300008:1	500
1	14	3	2	user.gold:2297000	1900
1	15	3	3	user.hero_exp:4595000	1900
1	16	3	4	user.bindcash:100	1900
1	17	3	5	material.1:100	1900
1	18	3	6	material.41:920	1900
1	19	4	1	material.300008:1	500
1	20	4	2	user.gold:2297000	1900
1	21	4	3	user.hero_exp:4595000	1900
1	22	4	4	user.bindcash:100	1900
1	23	4	5	material.1:100	1900
1	24	4	6	material.41:920	1900
1	25	5	1	material.300008:1	500
1	26	5	2	user.gold:3446000	1900
1	27	5	3	user.hero_exp:6892000	1900
1	28	5	4	user.bindcash:140	1900
1	29	5	5	material.1:140	1900
1	30	5	6	material.41:1400	1900
1	31	6	1	material.300008:1	500
1	32	6	2	user.gold:3446000	1900
1	33	6	3	user.hero_exp:6892000	1900
1	34	6	4	user.bindcash:140	1900
1	35	6	5	material.1:140	1900
1	36	6	6	material.41:1400	1900
1	37	7	1	material.300008:1	500
1	38	7	2	user.gold:4595000	1900
1	39	7	3	user.hero_exp:9190000	1900
1	40	7	4	user.bindcash:190	1900
1	41	7	5	material.1:190	1900
1	42	7	6	material.41:1800	1900
1	43	8	1	material.300008:1	500
1	44	8	2	user.gold:5744000	1900
1	45	8	3	user.hero_exp:11487000	1900
1	46	8	4	user.bindcash:230	1900
1	47	8	5	material.1:230	1900
1	48	8	6	material.41:2300	1900
2	1	1	1	material.300008:1	500
2	2	1	2	user.gold:1149000	1900
2	3	1	3	user.hero_exp:2297000	1900
2	4	1	4	user.bindcash:50	1900
2	5	1	5	material.1:50	1900
2	6	1	6	material.41:460	1900
2	7	2	1	material.300008:1	500
2	8	2	2	user.gold:1149000	1900
2	9	2	3	user.hero_exp:2297000	1900
2	10	2	4	user.bindcash:50	1900
2	11	2	5	material.1:50	1900
2	12	2	6	material.41:460	1900
2	13	3	1	material.300008:1	500
2	14	3	2	user.gold:2297000	1900
2	15	3	3	user.hero_exp:4595000	1900
2	16	3	4	user.bindcash:100	1900
2	17	3	5	material.1:100	1900
2	18	3	6	material.41:920	1900
2	19	4	1	material.300008:1	500
2	20	4	2	user.gold:2297000	1900
2	21	4	3	user.hero_exp:4595000	1900
2	22	4	4	user.bindcash:100	1900
2	23	4	5	material.1:100	1900
2	24	4	6	material.41:920	1900
2	25	5	1	material.300008:1	500
2	26	5	2	user.gold:3446000	1900
2	27	5	3	user.hero_exp:6892000	1900
2	28	5	4	user.bindcash:140	1900
2	29	5	5	material.1:140	1900
2	30	5	6	material.41:1400	1900
2	31	6	1	material.300008:1	500
2	32	6	2	user.gold:3446000	1900
2	33	6	3	user.hero_exp:6892000	1900
2	34	6	4	user.bindcash:140	1900
2	35	6	5	material.1:140	1900
2	36	6	6	material.41:1400	1900
2	37	7	1	material.300008:1	500
2	38	7	2	user.gold:4595000	1900
2	39	7	3	user.hero_exp:9190000	1900
2	40	7	4	user.bindcash:190	1900
2	41	7	5	material.1:190	1900
2	42	7	6	material.41:1800	1900
2	43	8	1	material.300008:1	500
2	44	8	2	user.gold:5744000	1900
2	45	8	3	user.hero_exp:11487000	1900
2	46	8	4	user.bindcash:230	1900
2	47	8	5	material.1:230	1900
2	48	8	6	material.41:2300	1900
3	1	1	1	material.300008:1	500
3	2	1	2	user.gold:1149000	1900
3	3	1	3	user.hero_exp:2297000	1900
3	4	1	4	user.bindcash:50	1900
3	5	1	5	material.1:50	1900
3	6	1	6	material.41:460	1900
3	7	2	1	material.300008:1	500
3	8	2	2	user.gold:1149000	1900
3	9	2	3	user.hero_exp:2297000	1900
3	10	2	4	user.bindcash:50	1900
3	11	2	5	material.1:50	1900
3	12	2	6	material.41:460	1900
3	13	3	1	material.300008:1	500
3	14	3	2	user.gold:2297000	1900
3	15	3	3	user.hero_exp:4595000	1900
3	16	3	4	user.bindcash:100	1900
3	17	3	5	material.1:100	1900
3	18	3	6	material.41:920	1900
3	19	4	1	material.300008:1	500
3	20	4	2	user.gold:2297000	1900
3	21	4	3	user.hero_exp:4595000	1900
3	22	4	4	user.bindcash:100	1900
3	23	4	5	material.1:100	1900
3	24	4	6	material.41:920	1900
3	25	5	1	material.300008:1	500
3	26	5	2	user.gold:3446000	1900
3	27	5	3	user.hero_exp:6892000	1900
3	28	5	4	user.bindcash:140	1900
3	29	5	5	material.1:140	1900
3	30	5	6	material.41:1400	1900
