编号	编号1	条件	奖励1	奖励2
confId	id	level	awards1	awards2
Int	Int2	Int	Award	Award
1	1	1	limitmat.101.2.2:120	user.sky_book:300
1	2	2	limitmat.102.2.2:270	user.sky_book:300
1	3	3	limitmat.103.2.2:300	user.sky_book:500
1	4	4	limitmat.104.2.2:450	user.sky_book:500
1	5	5	limitmat.105.2.2:630	user.sky_book:700
1	6	6	limitmat.106.2.2:840	user.sky_book:700
1	7	7	limitmat.107.2.2:1200	user.sky_book:900
1	8	8	limitmat.108.2.2:2160	user.sky_book:1100
1	9	9	limitmat.109.2.2:4500	user.sky_book:1300
1	10	10	0	user.sky_book:1500
2	1	1	limitmat.101.2.2:120	user.sky_book:300
2	2	2	limitmat.102.2.2:270	user.sky_book:300
2	3	3	limitmat.103.2.2:300	user.sky_book:500
2	4	4	limitmat.104.2.2:450	user.sky_book:500
2	5	5	limitmat.105.2.2:630	user.sky_book:700
2	6	6	limitmat.106.2.2:840	user.sky_book:700
2	7	7	limitmat.107.2.2:1200	user.sky_book:900
2	8	8	limitmat.108.2.2:2160	user.sky_book:1100
2	9	9	limitmat.109.2.2:4500	user.sky_book:1300
2	10	10	0	user.sky_book:1500
3	1	1	limitmat.101.2.2:120	user.sky_book:300
3	2	2	limitmat.102.2.2:270	user.sky_book:300
3	3	3	limitmat.103.2.2:300	user.sky_book:500
3	4	4	limitmat.104.2.2:450	user.sky_book:500
3	5	5	limitmat.105.2.2:630	user.sky_book:700
3	6	6	limitmat.106.2.2:840	user.sky_book:700
3	7	7	limitmat.107.2.2:1200	user.sky_book:900
3	8	8	limitmat.108.2.2:2160	user.sky_book:1100
3	9	9	limitmat.109.2.2:4500	user.sky_book:1300
3	10	10	0	user.sky_book:1500
4	1	1	limitmat.101.2.2:120	user.sky_book:300
4	2	2	limitmat.102.2.2:270	user.sky_book:300
4	3	3	limitmat.103.2.2:300	user.sky_book:500
4	4	4	limitmat.104.2.2:450	user.sky_book:500
4	5	5	limitmat.105.2.2:630	user.sky_book:700
4	6	6	limitmat.106.2.2:840	user.sky_book:700
4	7	7	limitmat.107.2.2:1200	user.sky_book:900
4	8	8	limitmat.108.2.2:2160	user.sky_book:1100
4	9	9	limitmat.109.2.2:4500	user.sky_book:1300
4	10	10	0	user.sky_book:1500
