次数	五星英雄碎片购买	极品1级龙晶购买消耗	竞技场门票购买消耗	困难重置消耗元宝	精英重置消耗元宝	普通重置消耗元宝	秘境怪人刷新消耗元宝	秘境硬币重置消耗元宝	探索任务次数购买消耗	探索挂机加速消耗元宝	千重楼重置消耗	皇城争霸挑战次数购买	龙晶矿洞矿锄购买	军团BOSS挑战消耗	军团领地行动力购买消耗	军团BOSS挑战消耗1	英雄背包购买	护送战斗点	护送任务购买	巅峰竞技场补足次数消耗
times	shopCost1	shopCost2	shopCost3	hardReset	eliteReset	normalReset	trialCrackpotReset	trialCoinReset	exploreTask	exploreAccelerate	towerReset	countryChallenge	diggingBuy	legionBossC	legionMannorActionBuy	avAlasdPrayRefreshCostItem	heroNumBuyC	convoyPower	convoyBuyTask	summitArenaBuy
Int	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award	Award
1	user.mixcash:-20	user.mixcash:-20	user.mixcash:-20	user.mixcash:-50	user.mixcash:-50	user.mixcash:-50	user.mixcash:-10	user.mixcash:-10	user.mixcash:-50	user.mixcash:0	user.mixcash:0	user.mixcash:-20	user.mixcash:-20	user.mixcash:0	user.mixcash:0	user.gold:0	user.mixcash:-500	user.mixcash:-250	user.mixcash:-0	user.mixcash:-50
2	user.mixcash:-20	user.mixcash:-20	user.mixcash:-20	user.mixcash:-100	user.mixcash:-100	user.mixcash:-100	user.mixcash:-10	user.mixcash:-10	user.mixcash:-75	user.mixcash:-50	user.mixcash:-200	user.mixcash:-20	user.mixcash:-20	user.mixcash:-20	user.mixcash:-10	user.gold:0	user.mixcash:-500	user.mixcash:-250	user.mixcash:-100	user.mixcash:-50
3	user.mixcash:-30	user.mixcash:-20	user.mixcash:-20	user.mixcash:-150	user.mixcash:-150	user.mixcash:-150	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-100	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-50	user.mixcash:-20	user.gold:0	user.mixcash:-500	user.mixcash:-250	user.mixcash:-150	user.mixcash:-50
4	user.mixcash:-30	user.mixcash:-30	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-100	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-100	user.mixcash:-20	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-200	user.mixcash:-50
5	user.mixcash:-40	user.mixcash:-30	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-150	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-200	user.mixcash:-30	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
6	user.mixcash:-40	user.mixcash:-40	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-150	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-30	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
7	user.mixcash:-50	user.mixcash:-40	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-200	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-40	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
8	user.mixcash:-50	user.mixcash:-40	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-200	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-40	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
9	user.mixcash:-50	user.mixcash:-50	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-250	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-50	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
10	user.mixcash:-60	user.mixcash:-50	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-250	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-50	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
11	user.mixcash:-60	user.mixcash:-60	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-300	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-60	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
12	user.mixcash:-60	user.mixcash:-60	user.mixcash:-20	user.mixcash:-200	user.mixcash:-200	user.mixcash:-200	user.mixcash:-10	user.mixcash:-10	user.mixcash:-100	user.mixcash:-350	user.mixcash:-500	user.mixcash:-20	user.mixcash:-20	user.mixcash:-500	user.mixcash:-60	user.gold:-12000	user.mixcash:-500	user.mixcash:-250	user.mixcash:-250	user.mixcash:-50
