关卡id	挑战本关需求杀怪	手动杀怪掉落ID	功能开启	新手引导标示	是否可退出/暂停	首通奖励	掉落预览	战斗背景	战斗阵型	挂机阵型	挂机掉落经验	挂机掉落金币	挂机掉落英雄经验	挂机掉落突破石
id	killLimit	killLoot	moduleOpen	guideIndex	enableBreak	first	firstPreview	battlebg	fightFormation	onHookFormation	singleExp	singleGold	singleHeroExp	singleTranscendStone
Int	Int	Int	String	Int	Int	Award	Award	Int	Int	Ints	Int	Int	Int	Int
1	0	10001	0	0	0	user.xp:100,user.gold:1000,user.hero_exp:300		1	1000001	1000001|1000002	60	240	25	0.2002
2	1	10002	0	1	0	user.xp:100,user.gold:1000,user.hero_exp:300		1	1000002	1000001|1000002	61	241	27	0.2004
3	2	10003	0	3	0	equip.10101.0:1,user.xp:100,user.gold:1000,user.hero_exp:300		1	1000003	1000001|1000002	62	242	29	0.2006
4	3	10004	0	2	1	user.xp:100,user.gold:1000,user.hero_exp:400	equip10002:1	1	1000004	1000001|1000002	63	243	31	0.2008
5	4	10005	0	0	1	user.xp:100,user.gold:1000,user.hero_exp:500		1	1000005	1000001|1000002	64	244	33	0.2011
6	5	10006	0	0	1	material.399999:1,dragon.1001:1,equip.20101.0:1,user.xp:100,user.gold:1000,user.hero_exp:700		1	1000006	1000001|1000002	64	244	35	0.2013
7	6	10007	0	4	1	user.xp:100,user.gold:1000,user.hero_exp:700		1	1000007	1000001|1000002	65	245	38	0.2015
8	7	10008	0	0	1	user.xp:100,user.gold:1000,user.hero_exp:800		1	1000008	1000001|1000002	66	246	40	0.2018
9	8	10009	0	0	1	equip.30101.0:1,user.xp:100,user.gold:1000,user.hero_exp:900		1	1000009	1000001|1000002	67	247	42	0.202
10	9	10010	0	0	1	user.xp:100,user.gold:1000,user.hero_exp:1000		1	1000010	1000001|1000002	68	248	44	0.2022
11	10	10011	0	0	1	user.xp:100,user.gold:1000,user.hero_exp:1200		1	1000011	1000001|1000002	69	249	46	0.2025
12	10	10012	0	0	1	equip.40101.0:1,user.xp:100,user.gold:1000,user.hero_exp:1300	equip10002:1	1	1000012	1000001|1000002	69	249	48	0.2027
13	10	10013	territorywar	16	1	user.xp:100,user.gold:1000,user.hero_exp:1300		1	1000013	1000001|1000002	70	250	50	0.2029
14	10	10014	0	0	1	user.xp:100,user.gold:1000,user.hero_exp:1500		1	1000014	1000001|1000002	71	251	52	0.2032
15	10	10015	0	0	1	equip.50101.0:1,user.xp:100,user.gold:1000,user.hero_exp:1600		1	1000015	1000001|1000002	72	252	54	0.2034
16	10	10016	0	0	1	user.xp:100,user.gold:2000,user.hero_exp:1800		1	1000016	1000001|1000002	73	253	56	0.2036
17	10	10017	0	0	1	user.xp:100,user.gold:2000,user.hero_exp:2000		1	1000017	1000001|1000002	74	254	58	0.2039
18	10	10018	0	0	1	equip.60101.0:1,user.xp:200,user.gold:2000,user.hero_exp:2100		1	1000018	1000001|1000002	74	254	60	0.2041
19	10	10019	0	0	1	user.xp:200,user.gold:2000,user.hero_exp:2100		2	1000019	1000001|1000002	75	255	63	0.2044
20	10	10020	0	0	1	user.xp:200,user.gold:2000,user.hero_exp:2300		2	1000020	1000001|1000002	76	256	65	0.2046
21	10	10021	0	0	1	material.940:2,user.xp:200,user.gold:2000,user.hero_exp:2500		2	1000021	1000001|1000002	77	257	67	0.2048
22	10	10022	0	0	1	user.xp:200,user.gold:2000,user.hero_exp:2700		2	1000022	1000001|1000002	78	258	69	0.2051
23	10	10023	0	0	1	user.xp:200,user.gold:2000,user.hero_exp:2900	equip10002:1	2	1000023	1000001|1000002	79	259	71	0.2053
24	10	10024	arena	0	1	material.940:2,user.atoken:10,user.xp:200,user.gold:2000,user.hero_exp:3100		2	1000024	1000001|1000002	80	260	73	0.2056
25	10	10025	0	11	1	user.xp:200,user.gold:2000,user.hero_exp:3100		2	1000025	1000001|1000002	81	261	76	0.2058
26	10	10026	0	0	1	user.xp:200,user.gold:2000,user.hero_exp:3300		2	1000026	1000001|1000002	82	262	78	0.2061
27	10	10027	0	17	1	material.940:2,user.xp:200,user.gold:3000,user.hero_exp:3500		2	1000027	1000001|1000002	82	262	80	0.2063
28	10	10028	0	0	1	user.xp:200,user.gold:3000,user.hero_exp:3700		2	1000028	1000001|1000002	83	263	82	0.2066
29	10	10029	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:4000		2	1000029	1000001|1000002	84	264	84	0.2068
30	10	10030	0	0	1	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:4200		2	1000030	1000001|1000002	85	265	87	0.2071
31	10	10031	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:4400		2	1000031	1000001|1000002	86	266	89	0.2073
32	10	10032	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:4700		2	1000032	1000001|1000002	87	267	91	0.2076
33	10	10033	0	0	1	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:4900		2	1000033	1000001|1000002	88	268	93	0.2078
34	10	10034	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000034	1000001|1000002	89	269	96	0.2081
35	10	10035	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200	equip10002:1	3	1000035	1000001|1000002	90	270	98	0.2083
36	10	10036	0	0	1	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000036	1000001|1000002	91	271	100	0.2086
37	10	10037	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000037	1000001|1000002	92	272	103	0.2088
38	10	10038	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000038	1000001|1000002	92	272	105	0.2091
39	10	10039	0	18	1	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000039	1000001|1000002	93	273	107	0.2094
40	10	10040	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000040	1000001|1000002	94	274	109	0.2096
41	10	10041	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000041	1000001|1000002	95	275	112	0.2099
42	10	10042	0	0	1	material.940:2,user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000042	1000001|1000002	96	276	114	0.2102
43	10	10043	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000043	1000001|1000002	97	277	116	0.2104
44	10	10044	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000044	1000001|1000002	98	278	119	0.2107
45	10	10045	0	0	1	material.940:4,user.xp:300,user.gold:3000,user.hero_exp:5200		3	1000045	1000001|1000002	99	279	121	0.211
46	10	10046	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000046	1000001|1000002	100	280	124	0.2112
47	10	10047	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000047	1000001|1000002	101	281	126	0.2115
48	10	10048	0	0	1	material.1:20,user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000048	1000001|1000002	102	282	128	0.2118
49	10	10049	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000049	1000001|1000002	103	283	131	0.212
50	10	10050	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000050	1000001|1000002	104	284	133	0.2123
51	10	10051	arena2	0	1	equip.10101.0:1,equip.20101.0:1,user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000051	1000001|1000002	105	285	136	0.2126
52	10	10052	0	0	1	user.xp:300,user.gold:3000,user.hero_exp:5200		4	1000052	1000001|1000002	106	286	138	0.2128
