掉落ID	奖励名称	必掉奖励	随机类型（0万分比，1权重）	奖励随机个数	奖励1	奖励1权重	奖励2	奖励2权重	奖励3	奖励3权重	奖励4	奖励4权重	奖励5	奖励5权重	奖励6	奖励6权重	奖励7	奖励7权重	奖励8	奖励8权重	奖励9	奖励9权重	奖励10	奖励10权重	奖励11	奖励11权重	奖励12	奖励12权重	奖励13	奖励13权重	奖励14	奖励14权重	奖励15	奖励15权重
id	name	fixed	type	randNum	award1	weight1	award2	weight2	award3	weight3	award4	weight4	award5	weight5	award6	weight6	award7	weight7	award8	weight8	award9	weight9	award10	weight10	award11	weight11	award12	weight12	award13	weight13	award14	weight14	award15	weight15
Int	Chinese	Award	Int	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int	Award	Int
1000	 空掉落	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1001	boss1普通掉落	user.xp:340,user.gold:1800,user.hero_exp:1200,material.930:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1002	boss2普通掉落	user.xp:900,user.gold:3600,user.hero_exp:2400,material.940:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1003	boss3普通掉落	user.xp:2000,user.gold:12000,user.hero_exp:8000,material.950:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1011	boss1特殊掉落	group.2002.0:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1012	boss2特殊掉落	group.2003.0:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013	boss3特殊掉落	group.2004.0:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021	boss1宝箱兑换	material.101601:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1022	boss2宝箱兑换	material.101602:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023	boss3宝箱兑换	material.101603:1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1151	金币堆意外掉落	0	1	1	user.bindcash:5	168	user.bindcash:10	20	user.bindcash:15	10	user.bindcash:66	1	user.bindcash:88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
