装备ID	装备名称	穿戴部位	评级	星星图标	星星数量	套装ID	装备图标	获取途径	出售价格	基础属性类型	阵营类型	阵营基础百分比加成	特殊属性
id	name	part	grade	starIcon	star	suitId	icon	getway	sellPrice	att	camp	campIncrease	specialAtt
Int	String	Int	Int	String	Int	Int	String	Ints	Award	Ints	Int	Int	Ints
10001	text_gearName_10001	1	1	star_1.png	1	1	equip_head_02.png	601	user.gold:20	1|40	0	0	0
10002	text_gearName_10002	1	2	star_1.png	1	2	equip_head_03.png	601	user.gold:21	1|63	0	0	0
10003	text_gearName_10003	1	2	star_1.png	2	3	equip_head_04.png	601	user.gold:21	1|97	0	0	0
10004	text_gearName_10004	1	3	star_1.png	1	4	equip_head_06.png	601	user.gold:22	1|140	0	0	0
10005	text_gearName_10005	1	3	star_1.png	2	5	equip_head_07.png	601	user.gold:23	1|200	0	0	0
10006	text_gearName_10006	1	3	star_1.png	3	6	equip_head_08.png	601	user.gold:24	1|270	0	0	0
10007	text_gearName_10007	1	4	star_1.png	1	7	equip_head_09.png	601	user.gold:25	1|350	0	0	0
10008	text_gearName_10008	1	4	star_1.png	2	8	equip_head_10.png	601|602	user.gold:26	1|440	0	0	0
10009	text_gearName_10009	1	4	star_1.png	3	9	equip_head_11.png	601|602	user.gold:27	1|660	0	0	0
10010	text_gearName_10010	1	4	star_1.png	4	10	equip_head_11.png	601|602	user.gold:28	1|930	0	0	0
10011	text_gearName_10011	1	5	star_1.png	1	11	equip_head_12.png	601|602	user.gold:29	1|1240	0	0	0
10012	text_gearName_10012	1	5	star_1.png	2	12	equip_head_13.png	601|602	user.gold:30	1|1600	0	0	0
10013	text_gearName_10013	1	5	star_1.png	3	13	equip_head_14.png	601|602	user.gold:31	1|2000	0	0	0
10014	text_gearName_10014	1	5	star_1.png	4	14	equip_head_14.png	10302|601	user.gold:32	1|2450	0	0	0
10015	text_gearName_10015	1	5	star_1.png	5	15	equip_head_14.png	10302|601	user.gold:33	1|2940	0	0	101|300
10101	text_gearName_10016	1	6	star_2.png	5	16	equip_head_17.png	10302|601	user.gold:34	1|3480	1	30	101|500
10102	text_gearName_10016	1	6	star_2.png	5	16	equip_head_17.png	10302|601	user.gold:34	1|3480	2	30	101|500
10103	text_gearName_10016	1	6	star_2.png	5	16	equip_head_17.png	10302|601	user.gold:34	1|3480	3	30	101|500
10104	text_gearName_10016	1	6	star_2.png	5	16	equip_head_17.png	10302|601	user.gold:34	1|3480	4	30	101|500
10105	text_gearName_10016	1	6	star_2.png	5	16	equip_head_17.png	10302|601	user.gold:34	1|3480	5	30	101|500
10106	text_gearName_10016	1	6	star_2.png	5	16	equip_head_17.png	10302|601	user.gold:34	1|3480	6	30	101|500
20001	text_gearName_20001	2	1	star_1.png	1	1	equip_body_02.png	10302|601	user.gold:37	3|400	0	0	0
20002	text_gearName_20002	2	2	star_1.png	1	2	equip_body_03.png	10302|601	user.gold:37	3|630	0	0	0
20003	text_gearName_20003	2	2	star_1.png	2	3	equip_body_04.png	10303|601	user.gold:38	3|980	0	0	0
20004	text_gearName_20004	2	3	star_1.png	1	4	equip_body_06.png	10303|601	user.gold:39	3|1440	0	0	0
20005	text_gearName_20005	2	3	star_1.png	2	5	equip_body_07.png	10303|601	user.gold:40	3|2020	0	0	0
20006	text_gearName_20006	2	3	star_1.png	3	6	equip_body_08.png	10303|601	user.gold:41	3|2710	0	0	0
20007	text_gearName_20007	2	4	star_1.png	1	7	equip_body_09.png	10303|601	user.gold:42	3|3510	0	0	0
20008	text_gearName_20008	2	4	star_1.png	2	8	equip_body_10.png	10303|601	user.gold:43	3|4440	0	0	0
20009	text_gearName_20009	2	4	star_1.png	3	9	equip_body_11.png	10304|601	user.gold:44	3|6620	0	0	0
20010	text_gearName_20010	2	4	star_1.png	4	10	equip_body_11.png	10304|601	user.gold:45	3|9270	0	0	0
