合成ID	合成目标	合成消耗	开启条件	开启参数	怪物等级	挑战规划等级
id	goal	cost	openType	openValue	level	limit
Int	Award	Award	String	Strings	Int	Int
10001	equip.10002:1	equip.10001:-3	level	1	1	1
10002	equip.10003:1	equip.10002:-3	level	1	2	1
10003	equip.10004:1	equip.10003:-3	level	1	3	2
10004	equip.10005:1	equip.10004:-3	custom	15	4	2
10005	equip.10006:1	equip.10005:-3	custom	75	5	3
10006	equip.10007:1	equip.10006:-3	custom	135	6	4
10007	equip.10008:1	equip.10007:-3	custom	195	7	4
10008	equip.10009:1	equip.10008:-3	custom	255	8	5
10009	equip.10010:1	equip.10009:-3	custom	315	9	6
10010	equip.10011:1	equip.10010:-3	custom	375	10	6
10011	equip.10012:1	equip.10011:-3	custom	435	11	7
10012	equip.10013:1	equip.10012:-3	custom	495	12	8
10013	equip.10014:1	equip.10013:-3	custom	555	13	8
10014	equip.10015:1	equip.10014:-3	custom	615	14	9
10015	equip.10016:1	equip.10015:-3	custom	675	15	10
10016	group.2001.0:1	equip.10016:-3	custom	735	16	10
20001	equip.20002:1	equip.20001:-3	level	1	17	11
20002	equip.20003:1	equip.20002:-3	level	1	18	12
20003	equip.20004:1	equip.20003:-3	level	1	19	12
20004	equip.20005:1	equip.20004:-3	custom	30	20	13
20005	equip.20006:1	equip.20005:-3	custom	90	21	14
20006	equip.20007:1	equip.20006:-3	custom	150	22	14
20007	equip.20008:1	equip.20007:-3	custom	210	23	15
20008	equip.20009:1	equip.20008:-3	custom	270	24	16
20009	equip.20010:1	equip.20009:-3	custom	330	25	16
20010	equip.20011:1	equip.20010:-3	custom	390	26	17
20011	equip.20012:1	equip.20011:-3	custom	450	27	18
20012	equip.20013:1	equip.20012:-3	custom	510	28	18
20013	equip.20014:1	equip.20013:-3	custom	570	29	19
20014	equip.20015:1	equip.20014:-3	custom	630	30	20
20015	equip.20016:1	equip.20015:-3	custom	690	31	20
20016	group.2001.0:1	equip.20016:-3	custom	750	32	21
30001	equip.30002:1	equip.30001:-3	level	1	33	22
30002	equip.30003:1	equip.30002:-3	level	1	34	22
30003	equip.30004:1	equip.30003:-3	level	1	35	23
30004	equip.30005:1	equip.30004:-3	custom	45	36	24
30005	equip.30006:1	equip.30005:-3	custom	105	37	24
30006	equip.30007:1	equip.30006:-3	custom	165	38	25
30007	equip.30008:1	equip.30007:-3	custom	225	39	26
30008	equip.30009:1	equip.30008:-3	custom	285	40	26
30009	equip.30010:1	equip.30009:-3	custom	345	41	27
30010	equip.30011:1	equip.30010:-3	custom	405	42	28
30011	equip.30012:1	equip.30011:-3	custom	465	43	28
30012	equip.30013:1	equip.30012:-3	custom	525	44	29
30013	equip.30014:1	equip.30013:-3	custom	585	45	30
30014	equip.30015:1	equip.30014:-3	custom	645	46	30
30015	equip.30016:1	equip.30015:-3	custom	705	47	31
30016	group.2001.0:1	equip.30016:-3	custom	765	48	32
40001	equip.40002:1	equip.40001:-3	level	1	49	32
40002	equip.40003:1	equip.40002:-3	level	1	50	33
40003	equip.40004:1	equip.40003:-3	level	1	51	34
40004	equip.40005:1	equip.40004:-3	custom	60	52	34
40005	equip.40006:1	equip.40005:-3	custom	120	53	35
40006	equip.40007:1	equip.40006:-3	custom	180	54	36
40007	equip.40008:1	equip.40007:-3	custom	240	55	36
40008	equip.40009:1	equip.40008:-3	custom	300	56	37
40009	equip.40010:1	equip.40009:-3	custom	360	57	38
40010	equip.40011:1	equip.40010:-3	custom	420	58	38
40011	equip.40012:1	equip.40011:-3	custom	480	59	39
40012	equip.40013:1	equip.40012:-3	custom	540	60	40
40013	equip.40014:1	equip.40013:-3	custom	600	61	40
40014	equip.40015:1	equip.40014:-3	custom	660	62	40
40015	equip.40016:1	equip.40015:-3	custom	720	63	40
40016	group.2001.0:1	equip.40016:-3	custom	780	64	40
