套装ID	套装名称	装备位置1	装备位置2	装备位置3	装备位置4	增加属性	增加属性1	增加属性2
id	name	equip1	equip2	equip3	equip4	attribute2	attribute3	attribute4
Int	String	Ints	Ints	Ints	Ints	Ints	Ints	Ints
1	text_heroEquipSuitName_01	10001	20001	30001	40001	0	0	0
2	text_heroEquipSuitName_02	10002	20002	30002	40002	0	0	0
3	text_heroEquipSuitName_03	10003	20003	30003	40003	0	0	0
4	text_heroEquipSuitName_04	10004	20004	30004	40004	0	0	0
5	text_heroEquipSuitName_05	10005	20005	30005	40005	0	0	0
6	text_heroEquipSuitName_06	10006	20006	30006	40006	0	0	0
7	text_heroEquipSuitName_07	10007	20007	30007	40007	103|200	101|300	103|100
8	text_heroEquipSuitName_08	10008	20008	30008	40008	103|300	101|500	103|200
9	text_heroEquipSuitName_09	10009	20009	30009	40009	103|400	101|700	103|300
10	text_heroEquipSuitName_10	10010	20010	30010	40010	103|500	101|900	103|400
11	text_heroEquipSuitName_11	10011	20011	30011	40011	103|600	101|1100	103|500
12	text_heroEquipSuitName_12	10012	20012	30012	40012	103|700	101|1300	103|600
13	text_heroEquipSuitName_13	10013	20013	30013	40013	103|800	101|1500	103|700
14	text_heroEquipSuitName_14	10014	20014	30014	40014	103|900	101|1700	103|800
15	text_heroEquipSuitName_15	10015	20015	30015	40015	103|1000	101|1900	103|900
16	text_heroEquipSuitName_16	10101|10102|10103|10104|10105|10106	20101|20102|20103|20104|20105|20106	30101|30102|30103|30104|30105|30106	40101|40102|40103|40104|40105|40106	103|1100	101|2100	103|1000
