索引ID	英雄模板ID	武将称号	武将名字	图鉴展示所需开服天数	真实ID	分解产物	获取途径	英雄简介
id	heroTemplateId	heroTitle	heroName	ShowHandbookLimit	mutexId	resolveAward	getway	roleBrief
Int	Int	String	String	String	Int	Award	Ints	String
201001	201001	text_heroTitle_1001	text_heroName_1001	gameday.1	1001	user.soul:10	400|10201|603	text_heroDesc_1001
201002	201002	text_heroTitle_1002	text_heroName_1002	gameday.1	1002	user.soul:10	400|10201|603	text_heroDesc_1002
201003	201003	text_heroTitle_1003	text_heroName_1003	gameday.1	1003	user.soul:20	400|10201|603	text_heroDesc_2001
202001	202001	text_heroTitle_2001	text_heroName_2001	gameday.1	2001	user.soul:20	400|10201|603	text_heroDesc_2002
202002	202002	text_heroTitle_2002	text_heroName_2002	gameday.1	2002	user.soul:50	400|10201|603	text_heroDesc_3001
202003	202003	text_heroTitle_2003	text_heroName_2003	gameday.1	2003	user.soul:50	400|10201|603	text_heroDesc_3002
203001	203001	text_heroTitle_3001	text_heroName_3001	gameday.1	3001	user.soul:50	400|10201|603	text_heroDesc_3002
203002	203002	text_heroTitle_3002	text_heroName_3002	gameday.1	3002	user.soul:50	400|10201|603	text_heroDesc_3002
203003	203003	text_heroTitle_3003	text_heroName_3003	gameday.1	3003	user.soul:50	400|10201|603	text_heroDesc_3002
204001	204001	text_heroTitle_4001	text_heroName_4001	gameday.1	4001	user.soul:50	400|10201|603	text_heroDesc_3002
204002	204002	text_heroTitle_4002	text_heroName_4002	gameday.1	4002	user.soul:50	400|10201|603	text_heroDesc_3002
204003	204003	text_heroTitle_4003	text_heroName_4003	gameday.1	4003	user.soul:50	400|10201|603	text_heroDesc_3002
205001	205001	text_heroTitle_5001	text_heroName_5001	gameday.1	5001	user.soul:50	400|10201|603	text_heroDesc_3002
205002	205002	text_heroTitle_5002	text_heroName_5002	gameday.1	5002	user.soul:50	400|10201|603	text_heroDesc_3002
205003	205003	text_heroTitle_5003	text_heroName_5003	gameday.1	5003	user.soul:50	400|10201|603	text_heroDesc_3002
206001	206001	text_heroTitle_6001	text_heroName_6001	gameday.1	6001	user.soul:50	400|10201|603	text_heroDesc_3002
206002	206002	text_heroTitle_6002	text_heroName_6002	gameday.1	6002	user.soul:50	400|10201|603	text_heroDesc_3002
206003	206003	text_heroTitle_6003	text_heroName_6003	gameday.1	6003	user.soul:50	400|10201|603	text_heroDesc_3002
301001	301001	text_heroTitle_1001	text_heroName_1001	gameday.1	1001	user.soul:10	400|10201|603	text_heroDesc_1001
301002	301002	text_heroTitle_1002	text_heroName_1002	gameday.1	1002	user.soul:10	400|10201|603	text_heroDesc_1002
301003	301003	text_heroTitle_1003	text_heroName_1003	gameday.1	1003	user.soul:20	400|10201|603	text_heroDesc_2001
302001	302001	text_heroTitle_2001	text_heroName_2001	gameday.1	2001	user.soul:20	400|10201|603	text_heroDesc_2002
302002	302002	text_heroTitle_2002	text_heroName_2002	gameday.1	2002	user.soul:50	400|10201|603	text_heroDesc_3001
302003	302003	text_heroTitle_2003	text_heroName_2003	gameday.1	2003	user.soul:50	400|10201|603	text_heroDesc_3002
303001	303001	text_heroTitle_3001	text_heroName_3001	gameday.1	3001	user.soul:50	400|10201|603	text_heroDesc_3002
303002	303002	text_heroTitle_3002	text_heroName_3002	gameday.1	3002	user.soul:50	400|10201|603	text_heroDesc_3002
303003	303003	text_heroTitle_3003	text_heroName_3003	gameday.1	3003	user.soul:50	400|10201|603	text_heroDesc_3002
304001	304001	text_heroTitle_4001	text_heroName_4001	gameday.1	4001	user.soul:50	400|10201|603	text_heroDesc_3002
304002	304002	text_heroTitle_4002	text_heroName_4002	gameday.1	4002	user.soul:50	400|10201|603	text_heroDesc_3002
304003	304003	text_heroTitle_4003	text_heroName_4003	gameday.1	4003	user.soul:50	400|10201|603	text_heroDesc_3002
305001	305001	text_heroTitle_5001	text_heroName_5001	gameday.1	5001	user.soul:50	400|10201|603	text_heroDesc_3002
305002	305002	text_heroTitle_5002	text_heroName_5002	gameday.1	5002	user.soul:50	400|10201|603	text_heroDesc_3002
305003	305003	text_heroTitle_5003	text_heroName_5003	gameday.1	5003	user.soul:50	400|10201|603	text_heroDesc_3002
306001	306001	text_heroTitle_6001	text_heroName_6001	gameday.1	6001	user.soul:50	400|10201|603	text_heroDesc_3002
306002	306002	text_heroTitle_6002	text_heroName_6002	gameday.1	6002	user.soul:50	400|10201|603	text_heroDesc_3002
306003	306003	text_heroTitle_6003	text_heroName_6003	gameday.1	6003	user.soul:50	400|10201|603	text_heroDesc_3002
401001	401001	text_heroTitle_1001	text_heroName_1001	gameday.1	1001	user.soul:10	400|10201|603	text_heroDesc_1001
401002	401002	text_heroTitle_1002	text_heroName_1002	gameday.1	1002	user.soul:10	400|10201|603	text_heroDesc_1002
401003	401003	text_heroTitle_1003	text_heroName_1003	gameday.1	1003	user.soul:20	400|10201|603	text_heroDesc_2001
402001	402001	text_heroTitle_2001	text_heroName_2001	gameday.1	2001	user.soul:20	400|10201|603	text_heroDesc_2002
402002	402002	text_heroTitle_2002	text_heroName_2002	gameday.1	2002	user.soul:50	400|10201|603	text_heroDesc_3001
402003	402003	text_heroTitle_2003	text_heroName_2003	gameday.1	2003	user.soul:50	400|10201|603	text_heroDesc_3002
403001	403001	text_heroTitle_3001	text_heroName_3001	gameday.1	3001	user.soul:50	400|10201|603	text_heroDesc_3002
403002	403002	text_heroTitle_3002	text_heroName_3002	gameday.1	3002	user.soul:50	400|10201|603	text_heroDesc_3002
