英雄星级	等级上限	水火风升至本阶消耗英雄1	水火风升至本阶消耗英雄2	水火风升至本阶消耗英雄3	日月升至本阶消耗英雄1	日月升至本阶消耗英雄2	日月升至本阶消耗英雄3	星级攻击系数	星级防御系数	星级生命系数	星级速度系数
id	limited	cost1	cost2	cost3	scost1	scost2	scost3	atkC	defC	hpC	speedC
Int	Int	Ints	Ints	Ints	Ints	Ints	Ints	Int	Int	Int	Int
1	100	0	0	0	0	0	0	0.95	0.95	0.95	0.95
2	100	0	0	0	0	0	0	1	1	1	1
3	100	3|2|1	3|2|1	0	3|2|1	3|2|1	0	1.0625	1.0625	1.0625	1.0625
4	100	4|3|1	4|3|1	0	4|3|1	4|3|1	0	1.25	1.25	1.25	1.25
5	120	3|4|1	0	0	3|4|1	0	0	1.5625	1.5625	1.5625	1.5625
6	140	4|5|1	4|5|1	0	4|5|1	4|5|1	0	2	2	2	2
7	160	3|5|1	0	0	3|5|1	0	0	2.5625	2.5625	2.5625	2.5625
8	180	4|7|1	0	0	4|7|1	0	0	3.25	3.25	3.25	3.25
9	200	4|7|1	0	0	4|7|1	0	0	4.0625	4.0625	4.0625	4.0625
10	240	3|5|1	3|5|1	0	3|5|1	3|5|1	0	5	5	5	5
