英雄索引	英雄ID1	英雄ID2	英雄ID3	英雄ID4	英雄ID5	英雄ID6	英雄ID7	英雄ID8	英雄ID9	英雄ID10
index	star1	star2	star3	star4	star5	star6	star7	star8	star9	star10
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1001	101001	201001	301001	401001	501001	601001	701001	801001	901001	1001001
1002	101002	201002	301002	401002	501002	601002	701002	801002	901002	1001002
1003	101003	201003	301003	401003	501003	601003	701003	801003	901003	1001003
2001	102001	202001	302001	402001	502001	602001	702001	802001	902001	1002001
2002	102002	202002	302002	402002	502002	602002	702002	802002	902002	1002002
2003	102003	202003	302003	402003	502003	602003	702003	802003	902003	1002003
3001	103001	203001	303001	403001	503001	603001	703001	803001	903001	1003001
3002	103002	203002	303002	403002	503002	603002	703002	803002	903002	1003002
3003	103003	203003	303003	403003	503003	603003	703003	803003	903003	1003003
4001	104001	204001	304001	404001	504001	604001	704001	804001	904001	1004001
4002	104002	204002	304002	404002	504002	604002	704002	804002	904002	1004002
4003	104003	204003	304003	404003	504003	604003	704003	804003	904003	1004003
5001	105001	205001	305001	405001	505001	605001	705001	805001	905001	1005001
5002	105002	205002	305002	405002	505002	605002	705002	805002	905002	1005002
5003	105003	205003	305003	405003	505003	605003	705003	805003	905003	1005003
6001	106001	206001	306001	406001	506001	606001	706001	806001	906001	1006001
6002	106002	206002	306002	406002	506002	606002	706002	806002	906002	1006002
6003	106003	206003	306003	406003	506003	606003	706003	806003	906003	1006003
