天赋组ID	突破1天赋	天赋值1	突破2天赋	天赋值2	突破3天赋	天赋值3	突破4天赋	天赋值4	解锁突破等级	特殊天赋触发条件1	特殊天赋触发条件值1	特殊天赋脚本1	特殊天赋值1	特殊天赋描述1	特殊天赋触发条件2	特殊天赋触发条件值2	特殊天赋脚本2	特殊天赋值2	特殊天赋描述2
id	level1	value1	level2	value2	level3	value3	level4	value4	lvLimit	specialCondition1	specialConditionValue1	specialKey1	specialValues1	specialDes1	specialCondition2	specialConditionValue2	specialKey2	specialValues2	specialDes2
Int	Int	Int	Int	Int	Int	Int	Int	Int	Ints	Int	Ints	Int	Ints	String	Int	Ints	Int	Ints	String
100100	1	250	46	800	1001	0	1002	0	1|3|5|7	15	1	13	2000|300	text_talent_5001_1	8	0	7	500101|3000|2500	text_talent_5001_2
100200	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	12	500201|0|10000	text_talent_5002_1	1	0	3	2	text_talent_5002_2
100300	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
100400	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
100500	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
100600	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
100700	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
100800	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
100900	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
101000	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
200100	1	250	46	800	1001	0	1002	0	1|3|5|7	8	0	1	0|2|1200	text_talent_5004_1	4	50	8	2|2000	text_talent_5004_2
200200	1	250	46	800	1001	0	1002	0	1|3|5|7	17	1000	11	500	text_talent_5005_1	13	25	12	500501|0|10000	text_talent_5005_2
200300	1	250	46	800	1001	0	1002	0	1|3|5|7	5	70	8	0|3000	text_talent_5006_1	16	0	15	3000	text_talent_5006_2
200400	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
200500	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
200600	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
200700	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
200800	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
200900	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
201000	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	6	1001	text_talent_5003_1	3	1001	8	0|3000	text_talent_5003_2
300100	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	12	500701|20000|10000	text_talent_5007_1	8	0	7	1701|3000|2500	text_talent_5007_2
300200	1	250	46	800	1001	0	1002	0	1|3|5|7	2	0	12	500801|10000|10000	text_talent_5008_1	16	0	16	1000	text_talent_5008_2
300300	1	250	46	800	1001	0	1002	0	1|3|5|7	7	0	11	500	text_talent_5009_1	2	0	12	500901|20000|10000	text_talent_5009_2
