道具组ID	组内ID	奖励	掉落开启限制	掉落开启参数	掉落关闭限制	掉落关闭参数	道具组内权重
groupId	id	award	openType	openValue	closeType	closeValue	weight
Int	Int2	Award	String	Strings	String	Strings	Int
10000009	1	card.1001:1	level	1	level	999	30
10000009	2	card.1002:1	level	2	level	1000	30
10000009	3	card.2001:1	level	3	level	1001	10
10000009	4	card.2002:1	level	4	level	1002	10
10000009	5	card.3001:1	level	5	level	1003	10
10000009	6	card.3002:1	level	6	level	1004	10
10000010	1	card.1001:1	level	7	level	1005	30
10000010	2	card.1002:1	level	8	level	1006	30
10000010	3	card.2001:1	level	9	level	1007	10
10000010	4	card.2002:1	level	10	level	1008	10
10000010	5	card.3001:1	level	11	level	1009	10
10000010	6	card.3002:1	level	12	level	1010	10
10000011	1	card.1001:1	level	13	level	1011	5
10000011	2	card.1002:1	level	14	level	1012	5
10000011	3	card.2001:1	level	15	level	1013	10
10000011	4	card.2002:1	level	16	level	1014	10
10000011	5	card.3001:1	level	17	level	1015	35
10000011	6	card.3002:1	level	18	level	1016	35
10000012	1	card.4003:1	level	19	level	1017	20
10000012	2	card.4011:1	level	20	level	1018	20
10000012	3	card.4017:1	level	21	level	1019	20
10000012	4	card.4019:1	level	22	level	1020	20
10000012	5	card.4007:1	level	23	level	1021	20
10000012	6	card.4012:1	level	24	level	1022	20
10000012	7	card.4020:1	level	25	level	1023	10
10000012	8	card.4004:1	level	26	level	1024	10
10000012	9	card.4008:1	level	27	level	1025	10
10000012	10	card.4018:1	level	28	level	1026	10
10000012	11	card.4014:1	level	29	level	1027	10
10000012	12	card.4013:1	level	30	level	1028	10
10000013	1	card.5005:1	level	31	level	1029	20
10000013	2	card.5001:1	level	32	level	1030	20
10000013	3	card.5015:1	level	33	level	1031	20
10000013	4	card.5009:1	level	34	level	1032	20
10000013	5	card.5006:1	level	35	level	1033	10
10000013	6	card.5016:1	level	36	level	1034	10
10000013	7	card.5002:1	level	37	level	1035	10
10000013	8	card.5010:1	level	38	level	1036	10
10000016	1	card.4003:1	level	39	level	1037	20
10000016	2	card.4011:1	level	40	level	1038	20
10000016	3	card.4017:1	level	41	level	1039	20
10000016	4	card.4019:1	level	42	level	1040	20
10000016	5	card.4007:1	level	43	level	1041	20
10000016	6	card.4012:1	level	44	level	1042	10
10000016	7	card.4020:1	level	45	level	1043	10
10000016	8	card.4004:1	level	46	level	1044	10
10000016	9	card.4008:1	level	47	level	1045	10
10000016	10	card.4018:1	level	48	level	1046	10
10000001	1	fragment.1001:1	level	49	level	1047	30
10000001	2	fragment.1002:1	level	50	level	1048	30
10000001	3	fragment.2001:1	level	51	level	1049	10
10000001	4	fragment.2002:1	level	52	level	1050	10
10000001	5	fragment.3001:1	level	53	level	1051	10
10000001	6	fragment.3002:1	level	54	level	1052	10
10000002	1	fragment.4003:1	level	55	level	1053	20
10000002	2	fragment.4011:1	level	56	level	1054	20
10000002	3	fragment.4017:1	level	57	level	1055	20
10000002	4	fragment.4019:1	level	58	level	1056	20
10000002	5	fragment.4007:1	level	59	level	1057	20
10000002	6	fragment.4012:1	level	60	level	1058	20
10000002	7	fragment.4020:1	level	61	level	1059	10
10000002	8	fragment.4004:1	level	62	level	1060	10
10000002	9	fragment.4008:1	level	63	level	1061	10
10000002	10	fragment.4018:1	level	64	level	1062	10
10000002	11	fragment.4014:1	level	65	level	1063	10
10000002	12	fragment.4013:1	level	66	level	1064	10
10000003	1	fragment.5005:1	level	67	level	1065	20
10000003	2	fragment.5001:1	level	68	level	1066	20
10000003	3	fragment.5015:1	level	69	level	1067	20
10000003	4	fragment.5009:1	level	70	level	1068	20
10000003	5	fragment.5006:1	level	71	level	1069	10
10000003	6	fragment.5016:1	level	72	level	1070	10
10000003	7	fragment.5002:1	level	73	level	1071	10
10000003	8	fragment.5010:1	level	74	level	1072	10
2001	1	equip.10001:1	level	1	level	999	100
2001	2	equip.20001:1	level	1	level	999	100
2001	3	equip.30001:1	level	1	level	999	100
2001	4	equip.40001:1	level	1	level	999	100
2002	1	equip.10002:1	level	1	level	999	100
2002	2	equip.20002:1	level	1	level	999	100
2002	3	equip.30002:1	level	1	level	999	100
2002	4	equip.40002:1	level	1	level	999	100
2003	1	equip.10003:1	level	1	level	999	100
2003	2	equip.20003:1	level	1	level	999	100
2003	3	equip.30003:1	level	1	level	999	100
2003	4	equip.40003:1	level	1	level	999	100
2004	1	equip.10004:1	level	1	level	999	100
2004	2	equip.20004:1	level	1	level	999	100
2004	3	equip.30004:1	level	1	level	999	100
2004	4	equip.40004:1	level	1	level	999	100
2005	1	equip.10005:1	level	1	level	999	100
2005	2	equip.20005:1	level	1	level	999	100
2005	3	equip.30005:1	level	1	level	999	100
2005	4	equip.40005:1	level	1	level	999	100
2006	1	equip.10006:1	level	1	level	999	100
2006	2	equip.20006:1	level	1	level	999	100
2006	3	equip.30006:1	level	1	level	999	100
2006	4	equip.40006:1	level	1	level	999	100
2007	1	equip.10007:1	level	1	level	999	100
2007	2	equip.20007:1	level	1	level	999	100
2007	3	equip.30007:1	level	1	level	999	100
2007	4	equip.40007:1	level	1	level	999	100
2008	1	equip.10008:1	level	1	level	999	100
2008	2	equip.20008:1	level	1	level	999	100
2008	3	equip.30008:1	level	1	level	999	100
2008	4	equip.40008:1	level	1	level	999	100
2009	1	equip.10009:1	level	1	level	999	100
2009	2	equip.20009:1	level	1	level	999	100
2009	3	equip.30009:1	level	1	level	999	100
2009	4	equip.40009:1	level	1	level	999	100
2010	1	equip.10010:1	level	1	level	999	100
2010	2	equip.20010:1	level	1	level	999	100
2010	3	equip.30010:1	level	1	level	999	100
2010	4	equip.40010:1	level	1	level	999	100
2011	1	equip.10011:1	level	1	level	999	100
2011	2	equip.20011:1	level	1	level	999	100
2011	3	equip.30011:1	level	1	level	999	100
2011	4	equip.40011:1	level	1	level	999	100
2012	1	equip.10012:1	level	1	level	999	100
2012	2	equip.20012:1	level	1	level	999	100
2012	3	equip.30012:1	level	1	level	999	100
2012	4	equip.40012:1	level	1	level	999	100
2013	1	equip.10013:1	level	1	level	999	100
2013	2	equip.20013:1	level	1	level	999	100
2013	3	equip.30013:1	level	1	level	999	100
2013	4	equip.40013:1	level	1	level	999	100
2014	1	equip.10014:1	level	1	level	999	100
2014	2	equip.20014:1	level	1	level	999	100
2014	3	equip.30014:1	level	1	level	999	100
2014	4	equip.40014:1	level	1	level	999	100
2015	1	equip.10015:1	level	1	level	999	100
2015	2	equip.20015:1	level	1	level	999	100
2015	3	equip.30015:1	level	1	level	999	100
2015	4	equip.40015:1	level	1	level	999	100
2016	1	equip.10101:1	level	1	level	999	100
2016	2	equip.10102:1	level	1	level	999	100
2016	3	equip.10103:1	level	1	level	999	100
2016	4	equip.10104:1	level	1	level	999	100
2016	5	equip.10105:1	level	1	level	999	100
2016	6	equip.10106:1	level	1	level	999	100
2016	7	equip.20101:1	level	1	level	999	100
2016	8	equip.20102:1	level	1	level	999	100
2016	9	equip.20103:1	level	1	level	999	100
2016	10	equip.20104:1	level	1	level	999	100
2016	11	equip.20105:1	level	1	level	999	100
2016	12	equip.20106:1	level	1	level	999	100
2016	13	equip.30101:1	level	1	level	999	100
2016	14	equip.30102:1	level	1	level	999	100
2016	15	equip.30103:1	level	1	level	999	100
2016	16	equip.30104:1	level	1	level	999	100
2016	17	equip.30105:1	level	1	level	999	100
2016	18	equip.30106:1	level	1	level	999	100
2016	19	equip.40101:1	level	1	level	999	100
2016	20	equip.40102:1	level	1	level	999	100
2016	21	equip.40103:1	level	1	level	999	100
2016	22	equip.40104:1	level	1	level	999	100
2016	23	equip.40105:1	level	1	level	999	100
2016	24	equip.40106:1	level	1	level	999	100
3001	1	gem.101:1	level	117	level	1115	100
3001	2	gem.201:1	level	118	level	1116	50
3001	3	gem.301:1	level	119	level	1117	50
3001	4	gem.401:1	level	120	level	1118	100
3002	1	material.101151:1	level	121	level	1119	100
3002	2	material.101152:1	level	122	level	1120	90
3002	3	material.101153:1	level	123	level	1121	80
3002	4	material.101154:1	level	124	level	1122	70
3002	5	material.101155:1	level	125	level	1123	59
3002	6	material.101156:1	level	126	level	1124	1
20000001	1	rune.1001:1	level	127	level	1125	2500
20000001	2	rune.2001:1	level	128	level	1126	2500
20000001	3	rune.3001:1	level	129	level	1127	2500
20000001	4	rune.4001:1	level	130	level	1128	2500
20000002	1	rune.1002:1	level	131	level	1129	2500
20000002	2	rune.2002:1	level	132	level	1130	2500
20000002	3	rune.3002:1	level	133	level	1131	2500
20000002	4	rune.4002:1	level	134	level	1132	2500
20000003	1	rune.1003:1	level	135	level	1133	2500
20000003	2	rune.2003:1	level	136	level	1134	2500
20000003	3	rune.3003:1	level	137	level	1135	2500
20000003	4	rune.4003:1	level	138	level	1136	2500
20000004	1	rune.1004:1	level	139	level	1137	2500
20000004	2	rune.2004:1	level	140	level	1138	2500
20000004	3	rune.3004:1	level	141	level	1139	2500
20000004	4	rune.4004:1	level	142	level	1140	2500
20000005	1	rune.1005:1	level	143	level	1141	2500
20000005	2	rune.2005:1	level	144	level	1142	2500
20000005	3	rune.3005:1	level	145	level	1143	2500
20000005	4	rune.4005:1	level	146	level	1144	2500
20000006	1	rune.1006:1	level	147	level	1145	2500
20000006	2	rune.2006:1	level	148	level	1146	2500
20000006	3	rune.3006:1	level	149	level	1147	2500
20000006	4	rune.4006:1	level	150	level	1148	2500
20000007	1	rune.1007:1	level	151	level	1149	2500
20000007	2	rune.2007:1	level	152	level	1150	2500
20000007	3	rune.3007:1	level	153	level	1151	2500
20000007	4	rune.4007:1	level	154	level	1152	2500
30000001	1	user.vip_xp:60	level	155	level	1153	10000
50000101	1	user.bindcash:10	level	156	level	1154	1000
50000101	2	user.hero_exp:3000	level	157	level	1155	3000
50000101	3	material.1:10	level	158	level	1156	3000
50000101	4	user.gold:10000	level	159	level	1157	3000
50000102	1	user.bindcash:10	level	160	level	1158	1000
50000102	2	user.hero_exp:6000	level	161	level	1159	3000
50000102	3	material.1:10	level	162	level	1160	3000
50000102	4	user.gold:11000	level	163	level	1161	3000
50000103	1	user.bindcash:10	level	164	level	1162	1000
50000103	2	user.hero_exp:26000	level	165	level	1163	3000
50000103	3	material.1:16	level	166	level	1164	3000
50000103	4	user.gold:19000	level	167	level	1165	3000
50000104	1	user.bindcash:10	level	168	level	1166	1000
50000104	2	user.hero_exp:56000	level	169	level	1167	3000
50000104	3	material.1:24	level	170	level	1168	3000
50000104	4	user.gold:31000	level	171	level	1169	3000
50000105	1	user.bindcash:10	level	172	level	1170	1000
50000105	2	user.hero_exp:75000	level	173	level	1171	3000
50000105	3	material.1:32	level	174	level	1172	3000
50000105	4	user.gold:40000	level	175	level	1173	3000
50000106	1	user.bindcash:10	level	176	level	1174	1000
50000106	2	user.hero_exp:97000	level	177	level	1175	3000
50000106	3	material.1:43	level	178	level	1176	3000
50000106	4	user.gold:52000	level	179	level	1177	3000
