功能	功能名称	功能1	解锁关卡	解锁等级	解锁需求开服天数
module	name	goto	customId	level	gameday
String	String	String	Int	Int	Int
shrine	text_moduleOpenName_shrine	shrine	10	0	0
destiny	text_moduleOpenName_destiny	destiny	30	0	0
hero	text_moduleOpeName_hero	hero	0	1	0
bag	text_moduleOpeName_bag	bag	0	1	0
altar	text_moduleOpeName_altar	altar	0	1	0
altar1	text_getWayName1801	0	0	5	0
altar2	text_getWayName1802	0	0	30	0
altar3	text_getWayName1803	0	0	60	0
altar4	text_getWayName1804	0	0	10	0
gloryHall	text_moduleOpeName_gloryHall	gloryHall	0	0	5
rank	text_moduleOpeName_rank	rank	24	0	0
mail	text_moduleOpeName_mail	mail	0	1	0
task	text_moduleOpeName_task	task	3	0	0
chat	text_moduleOpeName_chat	chat	0	10	0
tavern	text_moduleOpeName_tavern	tavern	0	1	0
kingMe	text_moduleOpeName_kingMe	kingMe	0	0	5
friend	text_moduleOpeName_friend	friend	0	20	0
team	text_moduleOpeName_team	team	0	35	0
report	text_moduleOpeName_report	report	13	0	0
skyweapon	text_moduleOpeName_skyweapon	skyweapon	0	0	7
skywing	text_moduleOpeName_skywing	skywing	0	0	10
skymount	text_moduleOpeName_skymount	skymount	0	0	13
exploreMonster	text_moduleOpeName_exploreMonster	exploreMonster	0	1	0
exploreBoss	text_moduleOpeName_exploreBoss	exploreBoss	0	1	0
exploreTask	text_moduleOpeName_exploreTask	exploreTask	32	0	0
tower	text_moduleOpeName_tower	tower	0	100	0
mine_enter	text_moduleOpeName_mine_enter	mine_enter	0	10	0
mine_digging	text_moduleOpeName_mine_digging	mine_digging	0	40	0
mine_trial	text_moduleOpeName_mine_trial	mine_trial	0	80	0
shop	text_moduleOpeName_shop	shop	0	1	0
legion	text_moduleOpeName_legion	legion	0	15	0
customcave	text_moduleOpeName_customcave	customcave	0	999	0
elite	text_moduleOpeName_elite	elite	25	0	0
hard	text_moduleOpeName_hard	hard	0	65	0
oneKeyEquipUpgrade	text_moduleOpeName_oneKeyEquipUpgrade	oneKeyEquipUpgrade	0	1	0
oneKeyEquipRefine	text_moduleOpeName_oneKeyEquipRefine	oneKeyEquipRefine	0	1	0
equipRefine	text_moduleOpeName_equipRefine	equipRefine	0	1	0
oneKeyTaskAward	text_moduleOpeName_oneKeyTaskAward	oneKeyTaskAward	0	1	0
autoupgrade	text_moduleOpeName_autoupgrade	autoupgrade	0	1	0
arena	text_moduleOpeName_arena	arena	24	0	0
arena1	text_moduleOpeName_arena1	arena	24	0	0
arena2	text_moduleOpeName_arena2	arena	51	0	0
arena3	text_moduleOpeName_arena3	arena	78	0	0
arena4	text_moduleOpeName_arena4	arena	102	0	0
arena5	text_moduleOpeName_arena5	arena	126	0	0
arena6	text_moduleOpeName_arena6	arena	144	0	0
arena11	text_moduleOpeName_arena2	arena	24	0	0
arena12	text_moduleOpeName_arena4	arena	0	0	4
king	text_moduleOpeName_king	king	6	0	0
king_dragon	text_moduleOpeName_king_dragon	king_dragon	6	0	0
king_book	text_moduleOpeName_king_book	king_book	0	999	0
king_arena	text_moduleOpeName_king_arena	king_arena	0	999	0
maincity	text_moduleOpeName_maincity	maincity	0	1	0
destiny	text_moduleOpeName_destiny	destiny	0	1	0
part	text_moduleOpeName_part	part	0	1	0
war_college	text_moduleOpeName_war_college	challenge	0	1	0
territorywar	text_moduleOpeName_territorywar	0	13	0	0
worldIn	text_moduleOpeName_worldIn	0	0	20	0
worldwar	text_moduleOpeName_worldwar	worldwar	0	0	8
princess	text_nil	0	0	0	0
wish	text_nil	wish	0	1	0
promote	text_nil	promote	0	72	0
fateAdvanced	text_nil	fateAdvanced	0	50	0
tribute	text_nil	0	6	0	0
lord	text_nil	battle	20	1	0
shipper	text_nil	shipper	53	1	0
goldmine	text_nil	goldmine	46	1	0
boat	text_nil	boat	29	1	0
train	text_nil	train	27	1	0
equip	text_moduleOpeName_equip	equip	0	1	0
equipShop	text_moduleOpeName_equipShop	0	0	1	0
equip4	text_nil	0	0	1	0
equip5	text_nil	0	0	0	12
equip6	text_nil	0	0	180	0
equip7	text_nil	0	0	240	0
battleSpeedUpLimit1	text_moduleOpeName_battleSpeedUpLimit1	battleSpeedUpLimit1	0	1	0
heroLvUp	text_moduleOpeName_heroLvUp	heroLvUp	0	1	0
equipUpgrade	text_moduleOpeName_equipUpgrade	equipUpgrade	0	1	0
guideTask	text_moduleOpeName_guideTask	guideTask	0	1	0
statueAward	text_moduleOpeName_statueAward	statueAward	0	1	0
equipImprove	text_moduleOpeName_equipImprove	equipImprove	0	1	0
equipSagecraft	text_moduleOpeName_equipSagecraft	equipSagecraft	0	999	0
permute	text_moduleOpeName_permute	permute	0	1	0
evolution	text_moduleOpeName_evolution	evolution	0	1	0
growhelp	text_moduleOpeName_growhelp	growhelp	0	2	0
outline	text_nil	0	0	1	0
customWeal	text_nil	0	1	0	0
legionWar	text_nil	0	0	0	12
treasureHunt	text_nil	0	0	0	6
abyss	text_moduleOpeName_abyss	abyss	150	0	0
abyssTreasure	text_moduleOpeName_abyssTreasure	abyssTreasure	45	0	0
convoy	text_moduleOpeName_convoy	convoy	0	0	16
