索引id	武将等级	品质	基础攻击	基础血量	基础怒气	基础武防	基础魔防	基础命中率万分比	基础闪避率万分比	基础暴击率万分比	基础韧性率万分比	伤害加成	伤害减免	无视护甲万分比	无视技防万分比	治疗加成	怒气回复加成	负面抗性	暴击伤害	暴击减伤	技能伤害加成	技能伤害减免	突破等级	技能等级
id	level	quality	baseAttack	baseHp	baseMp	baseDef	baseMagDef	baseHit	baseDodge	baseCrit	baseResi	dmgIncrease	dmgReduce	ignoreDef	ignoreMag	cureIncrease	recoverMp	repleNegative	critDmgIncrease	critDmgReduce	skillDmgIncrease	skillDmgReduce	talentLevel	skillLevel
Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
80111	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80112	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80121	1	0	1000	5700	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80123	1	0	1000	5700	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80212	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80213	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80221	1	0	1000	5000	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80223	1	0	1000	5000	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80311	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80312	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80313	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80321	1	0	1000	5700	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80322	1	0	1000	5700	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80411	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80412	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80421	1	0	1000	5700	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80423	1	0	1000	5700	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80511	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80513	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80521	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80522	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80523	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80611	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80612	1	0	1000	4500	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
80621	1	0	1000	4950	0	625	625	500	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
