编号	天数	总类型	类型名字	子任务列表	图标	描述
confId	day	id	title	task	picture	desc
Int	Int2	Int3	Chinese	Ints	String	String
1	1	1	text_av_openholiday_tab_1_1	1|2|3|4|5	legionwar.png	0
1	1	2	text_av_openholiday_tab_1_2	21|22|23|24|25		0
1	1	3	text_av_openholiday_tab_1_3	41|42|43|44|45		0
1	1	4	text_av_openholiday_tab_1_4	61|62|63|64|65		0
1	2	1	text_av_openholiday_tab_2_4	121|122|123	legionwarscore.png	text_av_openholiday_top_desc_2_1
1	2	2	text_av_openholiday_tab_2_2	81|82|83|84|85		text_av_openholiday_top_desc_2_1
1	2	3	text_av_openholiday_tab_2_1	20001|20002|20003|20004|20005|20006		text_av_openholiday_top_desc_2_1
1	2	4	text_av_openholiday_tab_2_3	101|102|103|104|105|106|107		text_av_openholiday_top_desc_2_1
1	3	1	text_av_openholiday_tab_3_1	141	rob.png	text_av_openholiday_top_desc_3_1
1	3	2	text_av_openholiday_tab_3_2	142		text_av_openholiday_top_desc_3_1
1	3	3	text_av_openholiday_tab_3_3	143		text_av_openholiday_top_desc_3_1
1	3	4	text_av_openholiday_tab_3_4	144		text_av_openholiday_top_desc_3_1
2	1	1	text_av_openholiday_tab_1_1	1|2|3|4|5	legionwar.png	0
2	1	2	text_av_openholiday_tab_1_2	21|22|23|24|25		0
2	1	3	text_av_openholiday_tab_1_3	41|42|43|44|45		0
2	1	4	text_av_openholiday_tab_1_4	61|62|63|64|65		0
2	2	1	text_av_openholiday_tab_2_4	121|122|123	legionwarscore.png	text_av_openholiday_top_desc_2_1
2	2	2	text_av_openholiday_tab_2_2	81|82|83|84|85		text_av_openholiday_top_desc_2_1
2	2	3	text_av_openholiday_tab_2_1	20001|20002|20003|20004|20005|20006		text_av_openholiday_top_desc_2_1
2	2	4	text_av_openholiday_tab_2_3	101|102|103|104|105|106|107		text_av_openholiday_top_desc_2_1
2	3	1	text_av_openholiday_tab_3_1	141	rob.png	text_av_openholiday_top_desc_3_1
2	3	2	text_av_openholiday_tab_3_2	142		text_av_openholiday_top_desc_3_1
2	3	3	text_av_openholiday_tab_3_3	143		text_av_openholiday_top_desc_3_1
2	3	4	text_av_openholiday_tab_3_4	144		text_av_openholiday_top_desc_3_1
