部位类型	觉醒星级	升至本级消耗	装备主属性百分比加成	极限觉醒属性值	觉醒返还
type	level	costNormalAwake	addEquipMainAtt	maxVal	return
Int1	Int2	Award	Int	Int	Award
1	1	material.41:-1500	6	200	material.41:1500
1	2	material.41:-3000	12	400	material.41:4500
1	3	material.41:-4500	20	600	material.41:9000
1	4	material.41:-6000	28	800	material.41:15000
1	5	material.41:-7500	38	1000	material.41:22500
1	6	material.41:-9000	48	1200	material.41:31500
1	7	material.41:-10500	60	1400	material.41:42000
1	8	material.41:-12000	72	1600	material.41:54000
1	9	material.41:-13500	86	1800	material.41:67500
1	10	material.41:-15000	100	2000	material.41:82500
2	1	material.41:-1500	6	200	material.41:1500
2	2	material.41:-3000	12	400	material.41:4500
2	3	material.41:-4500	20	600	material.41:9000
2	4	material.41:-6000	28	800	material.41:15000
2	5	material.41:-7500	38	1000	material.41:22500
2	6	material.41:-9000	48	1200	material.41:31500
2	7	material.41:-10500	60	1400	material.41:42000
2	8	material.41:-12000	72	1600	material.41:54000
2	9	material.41:-13500	86	1800	material.41:67500
2	10	material.41:-15000	100	2000	material.41:82500
3	1	material.41:-1500	6	200	material.41:1500
3	2	material.41:-3000	12	400	material.41:4500
3	3	material.41:-4500	20	600	material.41:9000
3	4	material.41:-6000	28	800	material.41:15000
3	5	material.41:-7500	38	1000	material.41:22500
3	6	material.41:-9000	48	1200	material.41:31500
3	7	material.41:-10500	60	1400	material.41:42000
3	8	material.41:-12000	72	1600	material.41:54000
3	9	material.41:-13500	86	1800	material.41:67500
3	10	material.41:-15000	100	2000	material.41:82500
4	1	material.41:-1500	6	200	material.41:1500
4	2	material.41:-3000	12	400	material.41:4500
4	3	material.41:-4500	20	600	material.41:9000
4	4	material.41:-6000	28	800	material.41:15000
4	5	material.41:-7500	38	1000	material.41:22500
4	6	material.41:-9000	48	1200	material.41:31500
4	7	material.41:-10500	60	1400	material.41:42000
4	8	material.41:-12000	72	1600	material.41:54000
4	9	material.41:-13500	86	1800	material.41:67500
4	10	material.41:-15000	100	2000	material.41:82500
5	1	material.41:-1500	6	200	material.41:1500
5	2	material.41:-3000	12	400	material.41:4500
5	3	material.41:-4500	20	600	material.41:9000
5	4	material.41:-6000	28	800	material.41:15000
5	5	material.41:-7500	38	1000	material.41:22500
5	6	material.41:-9000	48	1200	material.41:31500
5	7	material.41:-10500	60	1400	material.41:42000
5	8	material.41:-12000	72	1600	material.41:54000
5	9	material.41:-13500	86	1800	material.41:67500
5	10	material.41:-15000	100	2000	material.41:82500
6	1	material.41:-1500	6	200	material.41:1500
6	2	material.41:-3000	12	400	material.41:4500
6	3	material.41:-4500	20	600	material.41:9000
6	4	material.41:-6000	28	800	material.41:15000
6	5	material.41:-7500	38	1000	material.41:22500
6	6	material.41:-9000	48	1200	material.41:31500
6	7	material.41:-10500	60	1400	material.41:42000
6	8	material.41:-12000	72	1600	material.41:54000
6	9	material.41:-13500	86	1800	material.41:67500
6	10	material.41:-15000	100	2000	material.41:82500
