品级	可提升需求等级	常规技能	怒气技能	天赋条数	升至本级突破消耗	升至本级返还	速攻攻击	速攻防御	速攻生命	速攻速度	支援攻击	支援防御	支援生命	支援速度	妨害攻击	妨害防御	妨害生命	妨害速度	坦克攻击	坦克防御	坦克生命	坦克速度	回复攻击	回复防御	回复生命	回复速度	攻击攻击	攻击防御	攻击生命	攻击速度
level	roleLevel	baseSkillLv	angerSkillLv	innateLv	cost	return	atk1	def1	hp1	speed1	atk2	def2	hp2	speed2	atk3	def3	hp3	speed3	atk4	def4	hp4	speed4	atk5	def5	hp5	speed5	atk6	def6	hp6	speed6
Int	Int	Int	Int	Int	Award	Award	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int
1	10	2	1	0	material.1:-10	material.1:10	80.64	28	560	28.32	67.2	28	672	23.6	67.2	28	672	23.6	56	37.33324	756	21.24	80.64	25.454545455	570.36979824	18.88	89.599776	28	504.00126	16.52
2	20	2	2	0	material.1:-10	material.1:20	126.72	44	880	33.12	105.6	44	1056	27.6	105.6	44	1056	27.6	88	58.66652	1188	24.84	126.72	40	896.29539723	22.08	140.799648	44	792.00198	19.32
3	40	2	2	1	material.1:-30	material.1:50	288	100	2000	42.72	240	100	2400	35.6	240	100	2400	35.6	200	133.333	2700	32.04	288	90.909090909	2037.0349937	28.48	319.9992	100	1800.0045	24.92
4	60	3	2	1	material.1:-100	material.1:150	541.44	188	3760	52.32	451.2	188	4512	43.6	451.2	188	4512	43.6	376	250.66604	5076	39.24	541.44	170.90909091	3829.6257882	34.88	601.598496	188	3384.00846	30.52
5	80	3	3	1	material.1:-160	material.1:310	887.04	308	6160	61.92	739.2	308	7392	51.6	739.2	308	7392	51.6	616	410.66564	8316	46.44	887.04	280	6274.0677806	41.28	985.597536	308	5544.01386	36.12
6	100	3	3	2	material.1:-280	material.1:590	1324.8	460	9200	71.52	1104	460	11040	59.6	1104	460	11040	59.6	920	613.3318	12420	53.64	1324.8	418.18181818	9370.3609711	47.68	1471.99632	460	8280.0207001	41.72
7	120	4	3	2	material.1:-740	material.1:1330	1854.72	644	12880	81.12	1545.6	644	15456	67.6	1545.6	644	15456	67.6	1288	858.66452	17388	60.84	1854.72	585.45454545	13118.50536	54.08	2060.794848	644	11592.02898	47.32
8	140	4	4	2	material.1:-1600	material.1:2930	2476.8	860	17200	90.72	2064	860	20640	75.6	2064	860	20640	75.6	1720	1146.6638	23220	68.04	2476.8	781.81818182	17518.500946	60.48	2751.99312	860	15480.0387	52.92
9	160	4	4	3	material.1:-2400	material.1:5330	3191.04	1108	22160	100.32	2659.2	1108	26592	83.6	2659.2	1108	26592	83.6	2216	1477.32964	29916	75.24	3191.04	1007.2727273	22570.34773	66.88	3545.591136	1108	19944.04986	58.52
10	180	5	4	3	material.1:-3300	material.1:8630	3997.44	1388	27760	109.92	3331.2	1388	33312	91.6	3331.2	1388	33312	91.6	2776	1850.66204	37476	82.44	3997.44	1261.8181818	28274.045713	73.28	4441.588896	1388	24984.06246	64.12
11	200	5	5	3	material.1:-4600	material.1:13230	4896	1700	34000	119.52	4080	1700	40800	99.6	4080	1700	40800	99.6	3400	2266.661	45900	89.64	4896	1545.4545455	34629.594893	79.68	5439.9864	1700	30600.0765	69.72
12	220	5	5	4	material.1:-6200	material.1:19430	5886.72	2044	40880	129.12	4905.6	2044	49056	107.6	4905.6	2044	49056	107.6	4088	2725.32652	55188	96.84	5886.72	1858.1818182	41636.995272	86.08	6540.783648	2044	36792.09198	75.32
13	240	5	6	4	material.1:-6200	material.1:19430	6969.6	2420	48400	138.72	5808	2420	58080	115.6	5808	2420	58080	115.6	4840	3226.6586	65340	104.04	6969.6	2200	49296.246848	92.48	7743.98064	2420	43560.1089	80.92
