神社等级	升至本级需求10星英雄	升至本级消耗
level	heroLimit	cost
Int	Int	Award
1	1	user.hero_exp:-7630000,user.hero_exp:-2300
2	1	user.hero_exp:-7630000,user.hero_exp:-2300
3	1	user.hero_exp:-7630000,user.hero_exp:-2300
4	1	user.hero_exp:-7630000,user.hero_exp:-2300
5	1	user.hero_exp:-7630000,user.hero_exp:-2300
6	2	user.hero_exp:-7630000,user.hero_exp:-2300
7	2	user.hero_exp:-7630000,user.hero_exp:-2300
8	2	user.hero_exp:-7630000,user.hero_exp:-2300
9	2	user.hero_exp:-7630000,user.hero_exp:-2300
10	2	user.hero_exp:-7630000,user.hero_exp:-2300
11	3	user.hero_exp:-7630000,user.hero_exp:-2300
12	3	user.hero_exp:-7630000,user.hero_exp:-2300
13	3	user.hero_exp:-7630000,user.hero_exp:-2300
14	3	user.hero_exp:-7630000,user.hero_exp:-2300
15	3	user.hero_exp:-7630000,user.hero_exp:-2300
16	4	user.hero_exp:-7630000,user.hero_exp:-2300
17	4	user.hero_exp:-7630000,user.hero_exp:-2300
18	4	user.hero_exp:-7630000,user.hero_exp:-2300
19	4	user.hero_exp:-7630000,user.hero_exp:-2300
20	4	user.hero_exp:-7630000,user.hero_exp:-2300
21	5	user.hero_exp:-7630000,user.hero_exp:-2300
22	5	user.hero_exp:-7630000,user.hero_exp:-2300
23	5	user.hero_exp:-7630000,user.hero_exp:-2300
24	5	user.hero_exp:-7630000,user.hero_exp:-2300
25	5	user.hero_exp:-7630000,user.hero_exp:-2300
26	6	user.hero_exp:-7630000,user.hero_exp:-2300
27	6	user.hero_exp:-7630000,user.hero_exp:-2300
28	6	user.hero_exp:-7630000,user.hero_exp:-2300
29	6	user.hero_exp:-7630000,user.hero_exp:-2300
30	6	user.hero_exp:-7630000,user.hero_exp:-2300
31	7	user.hero_exp:-7630000,user.hero_exp:-2300
32	7	user.hero_exp:-7630000,user.hero_exp:-2300
33	7	user.hero_exp:-7630000,user.hero_exp:-2300
34	7	user.hero_exp:-7630000,user.hero_exp:-2300
35	7	user.hero_exp:-7630000,user.hero_exp:-2300
36	8	user.hero_exp:-7630000,user.hero_exp:-2300
37	8	user.hero_exp:-7630000,user.hero_exp:-2300
38	8	user.hero_exp:-7630000,user.hero_exp:-2300
39	8	user.hero_exp:-7630000,user.hero_exp:-2300
40	8	user.hero_exp:-7630000,user.hero_exp:-2300
41	9	user.hero_exp:-7630000,user.hero_exp:-2300
42	9	user.hero_exp:-7630000,user.hero_exp:-2300
43	9	user.hero_exp:-7630000,user.hero_exp:-2300
44	9	user.hero_exp:-7630000,user.hero_exp:-2300
45	9	user.hero_exp:-7630000,user.hero_exp:-2300
46	10	user.hero_exp:-7630000,user.hero_exp:-2300
47	10	user.hero_exp:-7630000,user.hero_exp:-2300
48	10	user.hero_exp:-7630000,user.hero_exp:-2300
49	10	user.hero_exp:-7630000,user.hero_exp:-2300
50	10	user.hero_exp:-7630000,user.hero_exp:-2300
51	11	user.hero_exp:-7630000,user.hero_exp:-2300
52	11	user.hero_exp:-7630000,user.hero_exp:-2300
53	11	user.hero_exp:-7630000,user.hero_exp:-2300
54	11	user.hero_exp:-7630000,user.hero_exp:-2300
55	11	user.hero_exp:-7630000,user.hero_exp:-2300
56	12	user.hero_exp:-7630000,user.hero_exp:-2300
57	12	user.hero_exp:-7630000,user.hero_exp:-2300
58	12	user.hero_exp:-7630000,user.hero_exp:-2300
59	12	user.hero_exp:-7630000,user.hero_exp:-2300
60	12	user.hero_exp:-7630000,user.hero_exp:-2300
61	13	user.hero_exp:-7630000,user.hero_exp:-2300
62	13	user.hero_exp:-7630000,user.hero_exp:-2300
63	13	user.hero_exp:-7630000,user.hero_exp:-2300
64	13	user.hero_exp:-7630000,user.hero_exp:-2300
65	13	user.hero_exp:-7630000,user.hero_exp:-2300
66	14	user.hero_exp:-7630000,user.hero_exp:-2300
67	14	user.hero_exp:-7630000,user.hero_exp:-2300
68	14	user.hero_exp:-7630000,user.hero_exp:-2300
69	14	user.hero_exp:-7630000,user.hero_exp:-2300
70	14	user.hero_exp:-7630000,user.hero_exp:-2300
71	15	user.hero_exp:-7630000,user.hero_exp:-2300
72	15	user.hero_exp:-7630000,user.hero_exp:-2300
73	15	user.hero_exp:-7630000,user.hero_exp:-2300
74	15	user.hero_exp:-7630000,user.hero_exp:-2300
75	15	user.hero_exp:-7630000,user.hero_exp:-2300
76	16	user.hero_exp:-7630000,user.hero_exp:-2300
77	16	user.hero_exp:-7630000,user.hero_exp:-2300
78	16	user.hero_exp:-7630000,user.hero_exp:-2300
79	16	user.hero_exp:-7630000,user.hero_exp:-2300
80	16	user.hero_exp:-7630000,user.hero_exp:-2300
81	17	user.hero_exp:-7630000,user.hero_exp:-2300
82	17	user.hero_exp:-7630000,user.hero_exp:-2300
83	17	user.hero_exp:-7630000,user.hero_exp:-2300
84	17	user.hero_exp:-7630000,user.hero_exp:-2300
85	17	user.hero_exp:-7630000,user.hero_exp:-2300
86	18	user.hero_exp:-7630000,user.hero_exp:-2300
87	18	user.hero_exp:-7630000,user.hero_exp:-2300
88	18	user.hero_exp:-7630000,user.hero_exp:-2300
89	18	user.hero_exp:-7630000,user.hero_exp:-2300
90	18	user.hero_exp:-7630000,user.hero_exp:-2300
91	19	user.hero_exp:-7630000,user.hero_exp:-2300
92	19	user.hero_exp:-7630000,user.hero_exp:-2300
93	19	user.hero_exp:-7630000,user.hero_exp:-2300
94	19	user.hero_exp:-7630000,user.hero_exp:-2300
95	19	user.hero_exp:-7630000,user.hero_exp:-2300
96	20	user.hero_exp:-7630000,user.hero_exp:-2300
97	20	user.hero_exp:-7630000,user.hero_exp:-2300
98	20	user.hero_exp:-7630000,user.hero_exp:-2300
99	20	user.hero_exp:-7630000,user.hero_exp:-2300
100	20	user.hero_exp:-7630000,user.hero_exp:-2300
101	21	user.hero_exp:-7630000,user.hero_exp:-2300
102	21	user.hero_exp:-7630000,user.hero_exp:-2300
103	21	user.hero_exp:-7630000,user.hero_exp:-2300
104	21	user.hero_exp:-7630000,user.hero_exp:-2300
105	21	user.hero_exp:-7630000,user.hero_exp:-2300
106	22	user.hero_exp:-7630000,user.hero_exp:-2300
107	22	user.hero_exp:-7630000,user.hero_exp:-2300
