技能ID	技能名称	施法动作	释放音效	目标类型	优先选中自己	寻找目标方式	最大目标数	子弹Id	子弹延迟发射（ms）	子弹数量	子弹间隔时间毫秒	子弹发射类型	击中音效	受击特效	受击特效挂点	受击特效渲染层级	技能特效	特效循环次数	效果产生次数	效果产生延迟时间	多次效果产生间隔	效果类型	正面效果	效果固定值	效果系数(万分比)	额外伤害效果	额外伤害参数	是否显示数字	是否受技能暴击率影响	是否无视闪避	无视护甲万分比	附加暴击率万分比	附加吸血万分比	附加吸血固定值	抽怒点数	消怒点数	驱散	屏幕震动时间毫秒(只支持近战或者bulletType为2的技能)	震动强度横向	震动强度纵向	产生的buff	BUFF生效几率（万分比）	BUFF持续回合	释放者buff	BUFF生效几率（万分比）1	BUFF持续回合1	技能ICON	技能描述	描述参数
skillId	name	action	castSount	targetType	isSelfFirst	findTargetWay	targetMaxNum	bulletId	bulletDelay	bulletNum	bulletInterval	bulletType	hitSound	hspeRes	hspePos	affectedZorder	speId	effectsTimes	effectTimes	effectDelay	effectInterval	effectType	dirType	effectFixed	effectCoef	extraDmgType	extraDmgValue	showNum	canSkillCrit	ignoreDodge	ignoreArmor	addCrit	suckBloodPercent	suckBlood	suckMpPercent	burnMpPercent	dispel	shakeTime	shakeX	shakeY	buffId	buffOdds	buffTime	ownerBuffId	ownerBuffOdds	ownerBuffTime	icon	desc	descPara
Int	String	String	String	String	String	Int	Int	Int	Int	Int	Ints	Int	String	String	Int	Int	Strings	Int	Int	Int	Ints	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Int	Ints	Ints	Ints	Ints	Ints	Ints	String	String	Strings
10010001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	0	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10001	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
10020001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10002	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
10030001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10003	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
20010001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10004	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
20020001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10005	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
20030001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10006	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
30010001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10007	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
30020001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10008	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
30030001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10009	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
40010001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10010	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
40020001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10011	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
40030001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10012	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
50010001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10013	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
50020001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10014	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
50030001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10015	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
60010001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10016	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
60020001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10017	b.attributePercent.2./.100.%|b.suckBloodPercent.1./.100.%|b.attributePercent.1./.100.%|s.ownerBuffTime.1./.1000.s
60030001	text_nil	shot1	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	0	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10001	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
10010101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10002	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
10020101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10003	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
10030101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10004	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
20010101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10005	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
20020101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10006	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
20030101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10007	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
30010101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	0	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10001	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
30020101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10002	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
30030101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10003	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
40010101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10004	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
40020101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10005	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
40030101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10006	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
50010101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10007	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
50020101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	0	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10001	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
50030101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10002	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
60010101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10003	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
60020101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10004	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
60030101	text_nil	attack3_out	0	enemy	真	0	1	0	0	0	0|100	1	0	0	1	0	0	0	1	0	0	1	1	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	default.png	text_skillDesc_10005	s.effectTimes.1.0.0.0|s.coefficient.1./.100.%
