技能组id	常规技	必杀技	怒气技能所需怒气点
id	baseSkill	angerSkill	angerSkillLimit
Int	Int	Int	Int
100100	10010000	10010100	100
100200	10020000	10020100	100
100300	10030000	10030100	100
100400	10040000	10040100	100
100500	10050000	10050100	100
100600	10060000	10060100	100
100700	10070000	10070100	100
100800	10080000	10080100	100
100900	10090000	10090100	100
101000	10100000	10100100	100
200100	20010000	20010100	100
200200	20020000	20020100	100
200300	20030000	20030100	100
200400	20040000	20040100	100
200500	20050000	20050100	100
200600	20060000	20060100	100
200700	20070000	20070100	100
200800	20080000	20080100	100
200900	20090000	20090100	100
201000	20100000	20100100	100
300100	30010000	30010100	100
300200	30020000	30020100	100
300300	30030000	30030100	100
300400	30040000	30040100	100
300500	30050000	30050100	100
300600	30060000	30060100	100
300700	30070000	30070100	100
300800	30080000	30080100	100
300900	30090000	30090100	100
301000	30100000	30100100	100
400100	40010000	40010100	100
400200	40020000	40020100	100
400300	40030000	40030100	100
400400	40040000	40040100	100
400500	40050000	40050100	100
400600	40060000	40060100	100
400700	40070000	40070100	100
400800	40080000	40080100	100
400900	40090000	40090100	100
401000	40100000	40100100	100
500100	50010000	50010100	100
500200	50020000	50020100	100
500300	50030000	50030100	100
500400	50040000	50040100	100
500500	50050000	50050100	100
500600	50060000	50060100	100
500700	50070000	50070100	100
500800	50080000	50080100	100
500900	50090000	50090100	100
501000	50100000	50100100	100
600100	60010000	60010100	100
600200	60020000	60020100	100
600300	60030000	60030100	100
600400	60040000	60040100	100
600500	60050000	60050100	100
600600	60060000	60060100	100
600700	60070000	60070100	100
600800	60080000	60080100	100
600900	60090000	60090100	100
601000	60100000	60100100	100
