编号	操作	目标	描述	活跃度	前往
id	event	target	desc	active	key
Int	String	Int	String	Int	String
1	exploreSpeedUp	1	text_dailyTaskDesc_exploreSpeedUp	20	exploreMonster
2	friendGive	1	text_dailyTaskDesc_friendGive	20	friend
3	shopBuy	3	text_dailyTaskDesc_shopBuy	10	shop:101
4	doWheel	1	text_dailyTaskDesc_doWheel	20	activity:lucky_rotate
5	exploreBoss	3	text_dailyTaskDesc_exploreBoss	10	exploreBoss
6	territorywar	1	text_dailyTaskDesc_territorywar	30	territorywar
7	arena	3	text_dailyTaskDesc_arena	20	arena
8	tavern	3	text_dailyTaskDesc_tavern	20	tavern
9	tavernHigh	1	text_dailyTaskDesc_tavernHigh	30	tavern
10	tower	1	text_dailyTaskDesc_tower	40	tower
11	superBox	1	text_dailyTaskDesc_superBox	40	mine_digging
12	supremacy	1	text_dailyTaskDesc_supremacy	30	kingMe
13	legionFire	1	text_dailyTaskDesc_legionFire	40	legionFire
14	teamTask	5	text_dailyTaskDesc_teamTask	50	teamTask
15	exploreTask	2	text_dailyTaskDesc_exploreTask	30	exploreTask
16	goldFete	1	text_dailyTaskDesc_goldFete	10	altar1
17	gemFete	1	text_dailyTaskDesc_gemFete	10	altar4
18	foodFete	1	text_dailyTaskDesc_foodFete	10	altar2
19	destinyFete	1	text_dailyTaskDesc_destinyFete	10	altar3
20	build	1	text_dailyTaskDesc_build	30	legionBuild
21	uncharted	3	text_dailyTaskDesc_uncharted	20	mine_trial
